STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/5/10,,,,,,,31,",,U",38,"H,,U",25,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/6/10,,,,,,,39,",,U",55,"H,,U",27,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/7/10,,,,,,,41,",,U",54,"H,,U",31,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/8/10,,,,,,,41,",,U",55,"H,,U",31,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/9/10,,,,,,,33,",,U",43,"H,,U",26,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/10/10,,,,,,,33,",,U",44,"H,,U",23,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/11/10,,,,,,,35,",,U",45,"H,,U",28,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/12/10,,,,,,,37,",,U",51,"H,,U",30,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/13/10,,,,,,,35,",,U",40,"H,,U",30,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/14/10,,,,,,,36,",,U",40,"H,,U",31,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/15/10,,,,,,,42,",,U",51,"H,,U",34,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/16/10,,,,,,,41,",,U",56,"H,,U",27,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/17/10,,,,,,,47,",,U",59,"H,,U",38,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/18/10,,,,,,,50,",,U",61,"H,,U",43,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/19/10,,,,,,,46,",,U",55,"H,,U",40,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/20/10,,,,,,,53,",,U",68,"H,,U",41,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/21/10,,,,,,,37,",,U",43,"H,,U",33,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/22/10,,,,,,,40,",,U",49,"H,,U",34,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/23/10,,,,,,,38,",,U",40,"H,,U",37,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/24/10,,,,,,,36,",,U",45,"H,,U",32,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/25/10,,,,,,,43,",,U",56,"H,,U",28,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/26/10,,,,,,,29,",,U",42,"H,,U",18,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/27/10,,,,,,,23,",,U",32,"H,,U",12,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/28/10,,,,,,,31,",,U",36,"H,,U",23,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/29/10,,,,,,,42,",,U",46,"H,,U",36,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/30/10,,,,,,,50,",,U",73,"H,S,U",44,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,3/31/10,,,,,,,63,",,U",68,"H,,U",60,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/1/10,,,,,,,65,",,U",73,"H,,U",59,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/2/10,,,,,,,66,",,U",74,"H,,U",60,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/3/10,,,,,,,67,",,U",77,"H,,U",61,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/4/10,,,,,,,73,",,U",85,"H,,U",63,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/5/10,,,,,,,71,",,U",82,"H,,U",66,"H,S,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/6/10,,,,,,,67,",,U",72,"H,,U",63,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/7/10,,,,,,,59,",,U",66,"H,,U",51,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/8/10,,,,,,,48,",,U",55,"H,,U",42,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/9/10,,,,,,,47,",,U",51,"H,,U",42,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/10/10,,,,,,,41,",,U",50,"H,,U",36,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/11/10,,,,,,,47,",,U",57,"H,,U",40,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/12/10,,,,,,,44,",,U",51,"H,,U",35,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/13/10,,,,,,,42,",,U",53,"H,,U",35,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/14/10,,,,,,,48,",,U",60,"H,,U",36,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/15/10,,,,,,,43,",,U",51,"H,,U",36,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/16/10,,,,,,,37,",,U",46,"H,,U",30,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/17/10,,,,,,,39,",,U",45,"H,,U",34,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/18/10,,,,,,,39,",,U",48,"H,,U",31,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/19/10,,,,,,,43,",,U",52,"H,,U",32,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/20/10,,,,,,,51,",,U",62,"H,,U",40,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/21/10,,,,,,,53,",,U",65,"H,,U",45,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/22/10,,,,,,,52,",,U",66,"H,,U",44,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/23/10,,,,,,,48,",,U",52,"H,,U",41,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/24/10,,,,,,,50,",,U",58,"H,,U",45,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/25/10,,,,,,,51,",,U",59,"H,,U",43,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/26/10,,,,,,,51,",,U",60,"H,,U",43,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/27/10,,,,,,,43,",,U",48,"H,,U",38,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/28/10,,,,,,,39,",,U",41,"H,,U",37,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/29/10,,,,,,,43,",,U",51,"H,,U",34,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,4/30/10,,,,,,,54,",,U",65,"H,,U",37,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/1/10,,,,,,,61,",,U",76,"H,,U",45,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/2/10,,,,,,,61,",,U",74,"H,,U",53,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/3/10,,,,,,,66,",,U",74,"H,,U",55,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/4/10,,,,,,,62,",,U",78,"H,,U",52,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/5/10,,,,,,,58,",,U",65,"H,,U",51,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/6/10,,,,,,,54,",,U",61,"H,,U",48,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/7/10,,,,,,,53,",,U",63,"H,,U",45,"H,,U",,
