Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),129,0.126,0.129,0.115,0.204,0.147,0.106,0.054,0.058,0.061,0.092,0.290,0.262,0.210,0.146,0.884,0.027,0.003,0.045,0.001,0.020,0.020,0.058,0.324,0.676,0.131,0.252,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),125,0.143,0.117,0.119,0.168,0.148,0.093,0.058,0.071,0.083,0.077,0.256,0.246,0.240,0.181,0.832,0.021,0.004,0.109,0.000,0.017,0.017,0.064,0.309,0.691,0.131,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),77,0.139,0.133,0.139,0.170,0.137,0.095,0.054,0.069,0.064,0.098,0.298,0.259,0.208,0.137,0.826,0.041,0.005,0.085,0.000,0.022,0.021,0.079,0.327,0.673,0.137,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),69,0.153,0.140,0.135,0.178,0.136,0.085,0.063,0.061,0.049,0.134,0.322,0.237,0.193,0.114,0.807,0.049,0.007,0.067,0.001,0.044,0.025,0.104,0.335,0.665,0.141,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),12,0.200,0.109,0.124,0.183,0.132,0.068,0.068,0.063,0.053,0.126,0.313,0.256,0.180,0.125,0.752,0.060,0.006,0.087,0.000,0.058,0.037,0.096,0.325,0.675,0.112,0.274,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),15,0.109,0.110,0.108,0.175,0.157,0.153,0.076,0.070,0.042,0.085,0.222,0.269,0.232,0.192,0.893,0.021,0.002,0.053,0.000,0.016,0.015,0.069,0.330,0.670,0.141,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),4,0.057,0.129,0.075,0.156,0.113,0.106,0.131,0.105,0.128,0.063,0.219,0.238,0.247,0.233,0.881,0.029,0.009,0.068,0.000,0.004,0.009,0.017,0.368,0.632,0.095,0.324,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),24: 11pm (11pm-12am),4,0.101,0.097,0.072,0.155,0.128,0.154,0.087,0.108,0.098,0.075,0.216,0.177,0.209,0.323,0.830,0.018,0.009,0.072,0.000,0.044,0.027,0.058,0.303,0.697,0.111,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1876,0.146,0.129,0.135,0.175,0.126,0.099,0.058,0.068,0.064,0.098,0.305,0.252,0.208,0.137,0.866,0.037,0.004,0.053,0.000,0.023,0.017,0.057,0.314,0.686,0.127,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),05: 4am (4am-5am),26,0.181,0.147,0.183,0.141,0.100,0.101,0.051,0.066,0.030,0.097,0.303,0.298,0.206,0.096,0.822,0.026,0.004,0.095,0.000,0.031,0.022,0.056,0.417,0.583,0.141,0.311,0.000,0.000,1.000
