Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),07: 6am (6am-7am),100,0.059,0.166,0.144,0.262,0.192,0.060,0.021,0.046,0.050,0.065,0.267,0.255,0.212,0.201,0.793,0.100,0.002,0.043,0.000,0.018,0.044,0.060,0.293,0.707,0.124,0.222,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),10: 9am (9am-10am),71,0.117,0.139,0.137,0.196,0.157,0.114,0.037,0.054,0.049,0.081,0.294,0.288,0.223,0.114,0.951,0.008,0.001,0.029,0.000,0.004,0.007,0.018,0.326,0.674,0.149,0.251,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),11: 10am (10am-11am),102,0.185,0.097,0.080,0.185,0.116,0.114,0.077,0.041,0.105,0.154,0.226,0.197,0.245,0.178,0.751,0.072,0.006,0.073,0.000,0.065,0.033,0.198,0.281,0.719,0.128,0.208,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),12: 11am (11am-12noon),103,0.167,0.157,0.118,0.174,0.169,0.084,0.059,0.034,0.038,0.130,0.307,0.277,0.188,0.098,0.878,0.032,0.007,0.018,0.000,0.042,0.023,0.123,0.370,0.630,0.170,0.286,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),126,0.074,0.102,0.073,0.151,0.124,0.117,0.059,0.077,0.223,0.052,0.233,0.207,0.281,0.227,0.951,0.013,0.001,0.023,0.000,0.003,0.009,0.043,0.384,0.616,0.151,0.314,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),103,0.121,0.110,0.102,0.199,0.135,0.088,0.081,0.060,0.104,0.079,0.257,0.245,0.253,0.166,0.918,0.045,0.006,0.014,0.001,0.002,0.014,0.030,0.277,0.723,0.114,0.217,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),93,0.133,0.157,0.110,0.156,0.133,0.113,0.054,0.056,0.088,0.102,0.284,0.273,0.209,0.132,0.885,0.039,0.000,0.043,0.000,0.024,0.009,0.055,0.384,0.616,0.158,0.286,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),117,0.164,0.141,0.142,0.197,0.113,0.102,0.064,0.055,0.022,0.109,0.323,0.299,0.156,0.113,0.930,0.050,0.002,0.007,0.000,0.005,0.006,0.027,0.297,0.703,0.098,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),82,0.121,0.165,0.102,0.181,0.161,0.071,0.083,0.055,0.061,0.072,0.336,0.254,0.179,0.159,0.924,0.006,0.008,0.023,0.001,0.010,0.028,0.037,0.284,0.716,0.097,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),109,0.117,0.081,0.103,0.131,0.142,0.085,0.091,0.092,0.158,0.054,0.188,0.272,0.271,0.215,0.845,0.024,0.002,0.087,0.000,0.022,0.020,0.155,0.348,0.652,0.169,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),77,0.141,0.138,0.150,0.186,0.172,0.070,0.063,0.042,0.038,0.096,0.267,0.262,0.217,0.158,0.749,0.095,0.014,0.100,0.000,0.026,0.016,0.097,0.306,0.694,0.128,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),88,0.222,0.095,0.175,0.185,0.144,0.086,0.043,0.033,0.017,0.190,0.353,0.248,0.129,0.080,0.658,0.080,0.012,0.092,0.000,0.096,0.062,0.161,0.394,0.606,0.173,0.323,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),15,0.265,0.041,0.167,0.200,0.183,0.023,0.056,0.065,0.000,0.298,0.345,0.221,0.114,0.022,0.262,0.167,0.027,0.190,0.000,0.215,0.139,0.330,0.431,0.569,0.144,0.368,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),22,0.160,0.136,0.103,0.219,0.140,0.137,0.047,0.046,0.012,0.078,0.208,0.340,0.186,0.188,0.899,0.011,0.006,0.047,0.000,0.012,0.025,0.023,0.402,0.598,0.271,0.268,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),00: All Day (12am-12am),2076,0.131,0.129,0.120,0.181,0.137,0.104,0.057,0.067,0.074,0.095,0.259,0.254,0.225,0.167,0.886,0.027,0.003,0.047,0.001,0.020,0.016,0.075,0.331,0.669,0.133,0.258,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),05: 4am (4am-5am),60,0.175,0.188,0.131,0.170,0.085,0.077,0.065,0.033,0.076,0.209,0.198,0.198,0.257,0.138,0.817,0.041,0.009,0.019,0.001,0.076,0.037,0.407,0.358,0.642,0.167,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),06: 5am (5am-6am),140,0.086,0.105,0.105,0.168,0.115,0.138,0.092,0.073,0.118,0.077,0.227,0.255,0.247,0.194,0.875,0.008,0.002,0.079,0.000,0.022,0.014,0.059,0.362,0.638,0.163,0.261,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),07: 6am (6am-7am),70,0.096,0.108,0.122,0.194,0.178,0.108,0.067,0.067,0.060,0.053,0.152,0.225,0.333,0.237,0.815,0.071,0.003,0.046,0.000,0.025,0.040,0.226,0.244,0.756,0.114,0.169,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),08: 7am (7am-8am),15,0.167,0.108,0.114,0.202,0.101,0.213,0.026,0.013,0.056,0.066,0.323,0.292,0.159,0.160,0.883,0.005,0.003,0.052,0.000,0.044,0.013,0.081,0.329,0.671,0.197,0.199,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),09: 8am (8am-9am),11,0.209,0.252,0.177,0.141,0.144,0.023,0.016,0.038,0.000,0.195,0.277,0.344,0.138,0.046,0.939,0.029,0.000,0.002,0.000,0.008,0.022,0.046,0.515,0.485,0.252,0.356,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),10: 9am (9am-10am),113,0.119,0.116,0.095,0.149,0.139,0.155,0.053,0.129,0.045,0.060,0.332,0.270,0.234,0.104,0.939,0.022,0.000,0.022,0.000,0.007,0.010,0.036,0.285,0.715,0.111,0.219,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),11: 10am (10am-11am),105,0.079,0.119,0.119,0.181,0.129,0.124,0.070,0.099,0.080,0.103,0.207,0.244,0.270,0.176,0.834,0.036,0.011,0.089,0.000,0.015,0.015,0.088,0.385,0.615,0.152,0.293,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),12: 11am (11am-12noon),300,0.101,0.116,0.113,0.182,0.147,0.121,0.061,0.085,0.074,0.072,0.236,0.275,0.219,0.198,0.919,0.024,0.001,0.037,0.000,0.007,0.012,0.034,0.369,0.631,0.107,0.326,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),210,0.099,0.092,0.116,0.177,0.166,0.144,0.071,0.086,0.049,0.069,0.214,0.282,0.239,0.196,0.848,0.052,0.004,0.062,0.001,0.014,0.019,0.057,0.415,0.585,0.153,0.333,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),168,0.130,0.167,0.113,0.187,0.138,0.088,0.070,0.062,0.045,0.091,0.286,0.285,0.189,0.149,0.960,0.010,0.001,0.016,0.000,0.001,0.012,0.026,0.284,0.716,0.115,0.222,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),160,0.135,0.105,0.129,0.225,0.133,0.087,0.047,0.066,0.073,0.089,0.275,0.245,0.234,0.157,0.950,0.011,0.000,0.015,0.000,0.016,0.008,0.029,0.342,0.658,0.130,0.282,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),185,0.171,0.120,0.099,0.187,0.127,0.093,0.041,0.035,0.127,0.113,0.256,0.220,0.196,0.215,0.859,0.033,0.004,0.055,0.001,0.028,0.020,0.075,0.271,0.729,0.127,0.197,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),219,0.132,0.112,0.120,0.186,0.157,0.095,0.060,0.059,0.079,0.090,0.270,0.261,0.225,0.154,0.875,0.022,0.002,0.052,0.005,0.026,0.018,0.070,0.279,0.721,0.127,0.199,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),138,0.201,0.159,0.142,0.165,0.121,0.074,0.043,0.035,0.060,0.078,0.291,0.258,0.192,0.181,0.941,0.007,0.000,0.030,0.000,0.013,0.009,0.037,0.301,0.699,0.115,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),100,0.165,0.128,0.124,0.168,0.162,0.079,0.035,0.071,0.068,0.114,0.273,0.259,0.250,0.104,0.815,0.046,0.000,0.084,0.000,0.033,0.022,0.124,0.357,0.643,0.134,0.280,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),67,0.118,0.204,0.173,0.169,0.107,0.047,0.039,0.076,0.067,0.160,0.323,0.171,0.218,0.128,0.845,0.040,0.004,0.070,0.000,0.022,0.019,0.070,0.305,0.695,0.129,0.246,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),15,0.225,0.232,0.170,0.202,0.101,0.050,0.003,0.014,0.003,0.101,0.478,0.300,0.105,0.016,0.999,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.305,0.695,0.119,0.231,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),00: All Day (12am-12am),1459,0.134,0.140,0.135,0.177,0.137,0.089,0.065,0.062,0.061,0.086,0.277,0.259,0.219,0.159,0.868,0.046,0.004,0.048,0.000,0.015,0.019,0.052,0.303,0.697,0.122,0.235,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),05: 4am (4am-5am),10,0.124,0.059,0.046,0.133,0.162,0.133,0.167,0.119,0.057,0.034,0.200,0.284,0.269,0.213,0.885,0.007,0.000,0.099,0.000,0.001,0.008,0.041,0.428,0.572,0.170,0.344,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),06: 5am (5am-6am),64,0.097,0.109,0.157,0.211,0.132,0.082,0.052,0.039,0.121,0.081,0.266,0.267,0.197,0.189,0.868,0.039,0.006,0.056,0.000,0.014,0.017,0.065,0.324,0.676,0.139,0.264,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),07: 6am (6am-7am),19,0.126,0.183,0.133,0.157,0.283,0.083,0.017,0.017,0.001,0.016,0.442,0.308,0.167,0.067,0.916,0.022,0.005,0.025,0.000,0.005,0.027,0.029,0.271,0.729,0.159,0.147,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),08: 7am (7am-8am),19,0.079,0.095,0.129,0.182,0.184,0.100,0.120,0.109,0.002,0.015,0.236,0.362,0.284,0.103,0.865,0.026,0.000,0.068,0.000,0.021,0.020,0.065,0.430,0.570,0.216,0.320,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),09: 8am (8am-9am),20,0.158,0.097,0.057,0.389,0.087,0.146,0.028,0.019,0.019,0.110,0.323,0.169,0.269,0.129,0.989,0.001,0.000,0.004,0.000,0.000,0.006,0.005,0.355,0.645,0.214,0.349,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),10: 9am (9am-10am),54,0.171,0.105,0.151,0.162,0.099,0.059,0.115,0.089,0.049,0.061,0.325,0.265,0.232,0.117,0.921,0.008,0.002,0.042,0.000,0.006,0.021,0.036,0.404,0.596,0.156,0.306,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),11: 10am (10am-11am),167,0.105,0.081,0.142,0.153,0.152,0.124,0.092,0.098,0.053,0.065,0.288,0.257,0.246,0.144,0.915,0.030,0.006,0.021,0.000,0.017,0.011,0.047,0.364,0.636,0.126,0.296,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),12: 11am (11am-12noon),139,0.109,0.163,0.139,0.136,0.135,0.087,0.094,0.086,0.051,0.086,0.247,0.243,0.221,0.203,0.925,0.014,0.003,0.036,0.000,0.006,0.016,0.037,0.264,0.736,0.103,0.199,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),13: 12pm (12noon-1pm),189,0.118,0.156,0.181,0.192,0.130,0.082,0.031,0.051,0.059,0.080,0.225,0.259,0.232,0.204,0.743,0.168,0.003,0.043,0.000,0.010,0.033,0.044,0.255,0.745,0.092,0.209,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),14: 1pm (1pm-2pm),173,0.150,0.136,0.109,0.170,0.143,0.098,0.068,0.071,0.055,0.081,0.302,0.251,0.235,0.131,0.870,0.016,0.011,0.071,0.000,0.013,0.019,0.042,0.264,0.736,0.106,0.197,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),15: 2pm (2pm-3pm),135,0.234,0.152,0.161,0.191,0.113,0.054,0.027,0.045,0.023,0.130,0.327,0.260,0.173,0.110,0.906,0.031,0.002,0.025,0.000,0.021,0.015,0.057,0.263,0.737,0.114,0.208,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),16: 3pm (3pm-4pm),122,0.123,0.180,0.133,0.135,0.093,0.062,0.074,0.048,0.152,0.076,0.253,0.254,0.227,0.190,0.891,0.008,0.003,0.072,0.000,0.009,0.017,0.030,0.316,0.684,0.091,0.258,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),17: 4pm (4pm-5pm),82,0.138,0.120,0.112,0.211,0.136,0.095,0.039,0.042,0.107,0.065,0.253,0.256,0.210,0.216,0.941,0.014,0.002,0.020,0.000,0.010,0.013,0.060,0.382,0.618,0.163,0.292,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),18: 5pm (5pm-6pm),123,0.118,0.131,0.114,0.214,0.172,0.103,0.048,0.061,0.039,0.075,0.283,0.272,0.239,0.131,0.955,0.005,0.000,0.031,0.000,0.002,0.007,0.010,0.291,0.709,0.121,0.223,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),19: 6pm (6pm-7pm),39,0.047,0.078,0.089,0.124,0.136,0.176,0.147,0.077,0.126,0.073,0.211,0.214,0.243,0.259,0.634,0.100,0.015,0.170,0.000,0.026,0.055,0.099,0.312,0.688,0.128,0.220,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),20: 7pm (7pm-8pm),83,0.139,0.197,0.113,0.224,0.141,0.053,0.069,0.031,0.033,0.164,0.317,0.269,0.159,0.091,0.726,0.102,0.005,0.085,0.000,0.063,0.019,0.169,0.317,0.683,0.147,0.237,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),22: 9pm (9pm-10pm),21,0.162,0.139,0.105,0.218,0.137,0.137,0.045,0.045,0.012,0.081,0.212,0.340,0.183,0.184,0.904,0.010,0.005,0.046,0.000,0.012,0.023,0.022,0.405,0.595,0.282,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),2433,0.147,0.132,0.125,0.202,0.135,0.089,0.056,0.060,0.054,0.096,0.294,0.253,0.211,0.146,0.852,0.038,0.003,0.064,0.000,0.022,0.021,0.064,0.303,0.697,0.119,0.237,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),136,0.086,0.109,0.118,0.180,0.122,0.112,0.068,0.085,0.120,0.067,0.245,0.199,0.261,0.228,0.858,0.069,0.002,0.052,0.000,0.004,0.015,0.018,0.320,0.680,0.137,0.242,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),63,0.080,0.068,0.117,0.202,0.090,0.121,0.051,0.088,0.183,0.105,0.224,0.210,0.260,0.201,0.850,0.041,0.001,0.089,0.000,0.003,0.016,0.031,0.380,0.620,0.082,0.359,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),118,0.148,0.147,0.136,0.214,0.174,0.078,0.051,0.024,0.028,0.077,0.322,0.280,0.217,0.104,0.845,0.020,0.001,0.063,0.000,0.063,0.008,0.121,0.367,0.633,0.196,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),08: 7am (7am-8am),120,0.148,0.113,0.108,0.196,0.122,0.085,0.057,0.083,0.088,0.102,0.215,0.201,0.236,0.246,0.905,0.018,0.001,0.043,0.000,0.010,0.023,0.030,0.216,0.784,0.074,0.169,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),101,0.151,0.170,0.087,0.238,0.126,0.073,0.055,0.067,0.033,0.146,0.336,0.262,0.155,0.101,0.904,0.043,0.003,0.022,0.000,0.011,0.017,0.068,0.253,0.747,0.094,0.196,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),169,0.119,0.121,0.129,0.221,0.152,0.099,0.073,0.035,0.051,0.105,0.348,0.274,0.184,0.089,0.798,0.073,0.005,0.063,0.000,0.025,0.036,0.075,0.332,0.668,0.122,0.262,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),190,0.155,0.110,0.116,0.192,0.144,0.075,0.052,0.098,0.058,0.094,0.308,0.236,0.207,0.155,0.849,0.034,0.010,0.064,0.000,0.019,0.024,0.045,0.238,0.762,0.092,0.184,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),272,0.139,0.125,0.130,0.200,0.149,0.087,0.065,0.066,0.039,0.090,0.269,0.244,0.252,0.145,0.875,0.027,0.003,0.060,0.000,0.018,0.017,0.047,0.318,0.682,0.138,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),118,0.160,0.100,0.108,0.203,0.095,0.075,0.088,0.070,0.101,0.079,0.241,0.239,0.242,0.199,0.924,0.014,0.002,0.032,0.000,0.012,0.016,0.139,0.330,0.670,0.104,0.266,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),257,0.141,0.159,0.131,0.196,0.131,0.092,0.060,0.066,0.024,0.101,0.334,0.271,0.192,0.102,0.841,0.063,0.001,0.036,0.000,0.030,0.029,0.074,0.331,0.669,0.119,0.263,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),218,0.171,0.156,0.155,0.226,0.124,0.083,0.037,0.026,0.022,0.149,0.322,0.293,0.155,0.081,0.848,0.058,0.003,0.028,0.000,0.042,0.021,0.086,0.306,0.694,0.125,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),246,0.185,0.160,0.143,0.218,0.120,0.077,0.031,0.035,0.031,0.091,0.306,0.261,0.199,0.143,0.831,0.035,0.004,0.092,0.000,0.017,0.021,0.056,0.280,0.720,0.101,0.216,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),154,0.143,0.145,0.124,0.206,0.149,0.090,0.048,0.057,0.038,0.082,0.316,0.301,0.185,0.116,0.948,0.008,0.004,0.010,0.000,0.010,0.020,0.036,0.294,0.706,0.129,0.227,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),141,0.158,0.098,0.084,0.163,0.159,0.088,0.071,0.086,0.093,0.073,0.212,0.199,0.262,0.254,0.665,0.024,0.002,0.269,0.001,0.013,0.026,0.047,0.290,0.710,0.134,0.200,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),29,0.083,0.086,0.093,0.241,0.046,0.160,0.033,0.090,0.168,0.070,0.251,0.212,0.281,0.186,0.816,0.024,0.000,0.107,0.000,0.030,0.023,0.158,0.464,0.536,0.201,0.391,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),88,0.158,0.118,0.137,0.134,0.171,0.112,0.063,0.071,0.036,0.072,0.341,0.262,0.206,0.119,0.880,0.015,0.006,0.038,0.002,0.043,0.016,0.089,0.309,0.691,0.124,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),14,0.072,0.076,0.107,0.153,0.180,0.220,0.063,0.067,0.062,0.062,0.214,0.299,0.220,0.205,0.982,0.015,0.000,0.000,0.000,0.000,0.003,0.032,0.308,0.692,0.050,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),00: All Day (12am-12am),2398,0.141,0.134,0.119,0.186,0.135,0.101,0.063,0.061,0.060,0.090,0.285,0.250,0.226,0.149,0.869,0.037,0.003,0.055,0.001,0.018,0.017,0.062,0.306,0.694,0.122,0.236,0.000,0.000,1.000
