Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0,960151777059326
Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0,960151777059326
