Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),163,2132,2132,0.7,0.7,1,1,4.942,0.031,0.039,0.156,0.164,0.173,0.023,0.070,0.063,0.039,0.023,0.039,0.016,0.164,0.781,0.102,0.109,0.000,0.000,0.008,0.445,0.414,0.086,0.031,0.000,0.554,0.219,0.117,0.031,0.016,0.063
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),169,1801,1801,0.6,0.6,1,1,5.255,0.023,0.098,0.190,0.106,0.189,0.083,0.061,0.045,0.076,0.008,0.015,0.000,0.106,0.856,0.068,0.068,0.008,0.000,0.000,0.432,0.409,0.106,0.030,0.023,0.508,0.205,0.068,0.030,0.015,0.174
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),116,1688,1688,0.7,0.7,1,1,13.919,0.044,0.099,0.209,0.219,0.165,0.066,0.022,0.022,0.000,0.011,0.000,0.022,0.121,0.824,0.077,0.066,0.022,0.011,0.000,0.363,0.484,0.099,0.033,0.022,0.516,0.154,0.066,0.066,0.011,0.187
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),107,1537,1537,0.5,0.5,1,1,4.615,0.096,0.072,0.207,0.072,0.169,0.108,0.048,0.060,0.036,0.012,0.048,0.024,0.048,0.916,0.036,0.036,0.012,0.000,0.000,0.482,0.373,0.084,0.048,0.012,0.543,0.157,0.120,0.036,0.036,0.108
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),64,1466,1466,0.6,0.6,1,1,2.667,0.060,0.060,0.160,0.180,0.140,0.120,0.100,0.080,0.000,0.000,0.060,0.000,0.040,0.880,0.100,0.020,0.000,0.000,0.000,0.360,0.420,0.160,0.040,0.000,0.600,0.260,0.020,0.020,0.000,0.100
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),40,1279,1279,0.4,0.4,1,1,4.089,0.000,0.187,0.188,0.156,0.156,0.094,0.063,0.031,0.094,0.031,0.000,0.000,0.000,0.937,0.063,0.000,0.000,0.000,0.000,0.531,0.375,0.031,0.031,0.031,0.624,0.219,0.063,0.031,0.000,0.063
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),37,1926,1926,0.6,0.6,1,1,5.103,0.000,0.033,0.133,0.133,0.234,0.033,0.200,0.000,0.033,0.067,0.000,0.067,0.067,0.867,0.133,0.000,0.000,0.000,0.000,0.333,0.567,0.100,0.000,0.000,0.366,0.300,0.067,0.033,0.067,0.167
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),9,2712,2712,0.2,0.2,1,1,14.263,0.143,0.143,0.143,0.000,0.000,0.143,0.000,0.143,0.000,0.000,0.000,0.000,0.285,1.000,0.000,0.000,0.000,0.000,0.000,0.714,0.286,0.000,0.000,0.000,0.428,0.143,0.143,0.000,0.000,0.286
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),2,968,968,0.1,0.1,1,1,2.718,0.500,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),1,295,295,0.1,0.1,1,1,1.648,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
