Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),165,0.107,0.111,0.101,0.167,0.152,0.119,0.054,0.069,0.120,0.075,0.247,0.253,0.253,0.172,0.858,0.044,0.002,0.059,0.000,0.019,0.018,0.048,0.370,0.630,0.140,0.301,0.000,0.126,0.874
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),28,0.174,0.119,0.116,0.158,0.122,0.106,0.077,0.057,0.071,0.106,0.249,0.272,0.216,0.157,0.772,0.134,0.007,0.049,0.000,0.020,0.018,0.043,0.323,0.677,0.133,0.255,0.000,0.252,0.748
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),22: 9pm (9pm-10pm),48,0.102,0.119,0.092,0.141,0.149,0.100,0.069,0.099,0.129,0.096,0.246,0.230,0.252,0.176,0.761,0.096,0.001,0.078,0.000,0.044,0.020,0.099,0.329,0.671,0.140,0.261,0.000,0.187,0.813
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),23: 10pm (10pm-11pm),23,0.119,0.125,0.138,0.137,0.120,0.111,0.062,0.108,0.080,0.101,0.186,0.199,0.295,0.219,0.802,0.041,0.003,0.067,0.000,0.057,0.030,0.146,0.255,0.745,0.098,0.200,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),24: 11pm (11pm-12am),7,0.133,0.094,0.100,0.253,0.159,0.117,0.042,0.056,0.046,0.084,0.217,0.241,0.220,0.238,0.791,0.074,0.006,0.069,0.000,0.031,0.029,0.108,0.226,0.774,0.087,0.176,0.000,0.558,0.442
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),00: All Day (12am-12am),2633,0.130,0.120,0.115,0.172,0.136,0.099,0.064,0.075,0.089,0.083,0.263,0.242,0.238,0.174,0.867,0.039,0.003,0.052,0.000,0.019,0.020,0.061,0.332,0.668,0.134,0.259,0.001,0.203,0.796
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),01: 12am (12am-1am),2,0.218,0.124,0.099,0.197,0.137,0.141,0.006,0.067,0.011,0.056,0.169,0.368,0.157,0.250,0.939,0.013,0.000,0.045,0.000,0.000,0.003,0.000,0.098,0.902,0.067,0.037,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),03: 2am (2am-3am),2,0.065,0.064,0.153,0.149,0.262,0.133,0.062,0.086,0.026,0.068,0.310,0.274,0.229,0.119,0.647,0.070,0.000,0.167,0.000,0.083,0.033,0.182,0.438,0.562,0.175,0.345,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),04: 3am (3am-4am),22,0.216,0.138,0.114,0.259,0.096,0.073,0.046,0.031,0.027,0.094,0.308,0.234,0.197,0.167,0.869,0.036,0.000,0.062,0.000,0.013,0.020,0.047,0.247,0.753,0.095,0.198,0.000,0.350,0.650
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),05: 4am (4am-5am),260,0.120,0.115,0.118,0.169,0.133,0.103,0.063,0.085,0.094,0.085,0.255,0.232,0.250,0.178,0.859,0.042,0.003,0.053,0.000,0.016,0.027,0.051,0.325,0.675,0.137,0.249,0.000,0.409,0.591
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),06: 5am (5am-6am),183,0.097,0.090,0.098,0.138,0.137,0.122,0.085,0.109,0.124,0.076,0.233,0.228,0.259,0.204,0.852,0.031,0.003,0.088,0.000,0.010,0.016,0.043,0.361,0.639,0.138,0.286,0.000,0.462,0.538
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),07: 6am (6am-7am),22,0.119,0.137,0.137,0.125,0.111,0.098,0.088,0.065,0.120,0.080,0.246,0.176,0.268,0.230,0.806,0.042,0.001,0.059,0.000,0.065,0.027,0.136,0.325,0.675,0.155,0.238,0.000,0.456,0.544
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),08: 7am (7am-8am),26,0.209,0.116,0.148,0.167,0.123,0.074,0.064,0.049,0.050,0.144,0.268,0.208,0.238,0.142,0.804,0.100,0.007,0.019,0.000,0.058,0.012,0.133,0.304,0.696,0.132,0.226,0.000,0.351,0.649
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),09: 8am (8am-9am),31,0.113,0.138,0.112,0.187,0.132,0.114,0.055,0.058,0.091,0.074,0.309,0.215,0.217,0.185,0.904,0.023,0.004,0.052,0.000,0.003,0.014,0.021,0.332,0.668,0.161,0.264,0.000,0.287,0.713
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),10: 9am (9am-10am),145,0.127,0.100,0.135,0.171,0.141,0.109,0.062,0.070,0.085,0.074,0.248,0.252,0.244,0.182,0.849,0.029,0.005,0.063,0.001,0.030,0.023,0.103,0.311,0.689,0.127,0.243,0.014,0.189,0.797
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),11: 10am (10am-11am),144,0.110,0.114,0.113,0.181,0.141,0.094,0.061,0.080,0.106,0.069,0.273,0.267,0.241,0.150,0.901,0.021,0.003,0.050,0.000,0.010,0.015,0.043,0.317,0.683,0.124,0.248,0.000,0.195,0.805
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),12: 11am (11am-12noon),238,0.115,0.126,0.119,0.169,0.149,0.101,0.062,0.073,0.086,0.088,0.285,0.252,0.225,0.150,0.883,0.032,0.002,0.048,0.000,0.018,0.017,0.060,0.365,0.635,0.148,0.289,0.000,0.156,0.844
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),216,0.126,0.127,0.119,0.192,0.141,0.104,0.061,0.061,0.069,0.081,0.272,0.252,0.238,0.157,0.879,0.051,0.003,0.024,0.001,0.020,0.022,0.066,0.342,0.658,0.145,0.260,0.000,0.165,0.835
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),195,0.115,0.112,0.108,0.167,0.142,0.104,0.070,0.076,0.106,0.067,0.244,0.239,0.247,0.203,0.899,0.022,0.005,0.042,0.000,0.014,0.018,0.048,0.323,0.677,0.129,0.250,0.000,0.113,0.887
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),256,0.150,0.125,0.123,0.170,0.127,0.098,0.057,0.071,0.079,0.095,0.274,0.246,0.226,0.159,0.857,0.053,0.003,0.047,0.001,0.019,0.020,0.057,0.343,0.657,0.133,0.271,0.000,0.084,0.916
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),170,0.153,0.127,0.121,0.179,0.131,0.088,0.056,0.068,0.077,0.090,0.281,0.249,0.216,0.164,0.864,0.049,0.002,0.056,0.000,0.012,0.017,0.053,0.345,0.655,0.125,0.278,0.000,0.064,0.936
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),186,0.146,0.123,0.105,0.145,0.127,0.100,0.061,0.077,0.116,0.094,0.242,0.222,0.249,0.193,0.868,0.030,0.003,0.048,0.000,0.030,0.021,0.087,0.316,0.684,0.135,0.233,0.000,0.091,0.909
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),158,0.123,0.114,0.116,0.172,0.140,0.094,0.063,0.073,0.105,0.078,0.241,0.244,0.247,0.190,0.836,0.042,0.003,0.076,0.001,0.023,0.019,0.067,0.323,0.677,0.123,0.259,0.000,0.151,0.849
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),153,0.155,0.136,0.108,0.173,0.130,0.083,0.067,0.075,0.073,0.086,0.258,0.229,0.246,0.181,0.854,0.049,0.005,0.048,0.000,0.020,0.024,0.073,0.303,0.697,0.132,0.228,0.000,0.088,0.912
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),128,0.147,0.128,0.117,0.192,0.136,0.087,0.068,0.067,0.058,0.091,0.288,0.251,0.221,0.149,0.868,0.046,0.004,0.047,0.000,0.018,0.017,0.049,0.355,0.645,0.144,0.280,0.000,0.192,0.808
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),42,0.125,0.152,0.123,0.185,0.155,0.079,0.053,0.069,0.059,0.078,0.319,0.253,0.203,0.147,0.907,0.041,0.002,0.027,0.000,0.008,0.015,0.026,0.321,0.679,0.114,0.261,0.000,0.301,0.699
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),37,0.147,0.135,0.102,0.197,0.109,0.123,0.048,0.071,0.068,0.067,0.259,0.268,0.219,0.187,0.889,0.020,0.002,0.049,0.000,0.018,0.022,0.056,0.338,0.662,0.144,0.266,0.000,0.394,0.606
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),23: 10pm (10pm-11pm),14,0.173,0.176,0.086,0.168,0.158,0.109,0.050,0.041,0.039,0.096,0.252,0.274,0.224,0.154,0.858,0.064,0.001,0.011,0.000,0.054,0.012,0.139,0.417,0.583,0.154,0.335,0.000,0.114,0.886
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),24: 11pm (11pm-12am),3,0.173,0.126,0.094,0.329,0.118,0.137,0.023,0.000,0.000,0.077,0.249,0.239,0.304,0.131,0.923,0.023,0.018,0.010,0.000,0.000,0.026,0.014,0.041,0.959,0.008,0.033,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),00: All Day (12am-12am),3091,0.125,0.114,0.112,0.175,0.136,0.103,0.067,0.075,0.093,0.077,0.260,0.245,0.238,0.180,0.880,0.036,0.003,0.048,0.000,0.015,0.018,0.051,0.340,0.660,0.130,0.272,0.000,0.203,0.797
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),01: 12am (12am-1am),2,0.117,0.206,0.164,0.228,0.176,0.058,0.018,0.006,0.027,0.037,0.432,0.275,0.151,0.105,0.943,0.022,0.005,0.011,0.000,0.000,0.019,0.011,0.245,0.755,0.109,0.190,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),03: 2am (2am-3am),4,0.146,0.139,0.081,0.239,0.076,0.091,0.055,0.057,0.116,0.038,0.148,0.214,0.313,0.287,0.792,0.032,0.001,0.146,0.000,0.011,0.018,0.051,0.146,0.854,0.076,0.088,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),04: 3am (3am-4am),21,0.068,0.102,0.096,0.174,0.149,0.112,0.080,0.100,0.119,0.056,0.242,0.225,0.256,0.221,0.917,0.020,0.001,0.032,0.000,0.009,0.021,0.041,0.354,0.646,0.149,0.300,0.000,0.197,0.803
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),05: 4am (4am-5am),315,0.111,0.111,0.112,0.183,0.132,0.111,0.070,0.073,0.097,0.081,0.264,0.249,0.237,0.169,0.898,0.028,0.002,0.040,0.000,0.013,0.019,0.048,0.361,0.639,0.134,0.290,0.000,0.395,0.605
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),06: 5am (5am-6am),130,0.124,0.110,0.104,0.154,0.115,0.109,0.063,0.084,0.137,0.068,0.247,0.236,0.243,0.206,0.868,0.051,0.002,0.049,0.000,0.013,0.017,0.047,0.332,0.668,0.117,0.267,0.000,0.423,0.577
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),07: 6am (6am-7am),20,0.043,0.089,0.129,0.178,0.176,0.157,0.079,0.104,0.045,0.050,0.302,0.222,0.264,0.162,0.906,0.028,0.000,0.051,0.000,0.008,0.007,0.017,0.310,0.690,0.097,0.265,0.000,0.318,0.682
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),08: 7am (7am-8am),48,0.136,0.126,0.159,0.175,0.128,0.075,0.071,0.067,0.063,0.092,0.310,0.248,0.198,0.152,0.863,0.046,0.002,0.042,0.000,0.008,0.039,0.047,0.308,0.692,0.136,0.239,0.000,0.262,0.738
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),09: 8am (8am-9am),52,0.080,0.092,0.081,0.152,0.130,0.108,0.084,0.104,0.169,0.049,0.186,0.186,0.302,0.277,0.895,0.024,0.002,0.050,0.000,0.011,0.018,0.048,0.280,0.720,0.123,0.207,0.000,0.304,0.696
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),10: 9am (9am-10am),137,0.104,0.101,0.104,0.152,0.141,0.143,0.074,0.103,0.078,0.062,0.240,0.274,0.248,0.176,0.890,0.033,0.001,0.051,0.000,0.010,0.015,0.041,0.358,0.642,0.153,0.282,0.000,0.332,0.668
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),11: 10am (10am-11am),255,0.135,0.109,0.118,0.167,0.149,0.118,0.066,0.064,0.074,0.083,0.263,0.254,0.242,0.158,0.876,0.038,0.004,0.048,0.000,0.015,0.019,0.049,0.333,0.667,0.126,0.261,0.000,0.223,0.777
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),12: 11am (11am-12noon),256,0.140,0.127,0.122,0.182,0.139,0.100,0.063,0.058,0.069,0.084,0.264,0.254,0.226,0.172,0.887,0.043,0.002,0.035,0.000,0.015,0.018,0.045,0.322,0.678,0.128,0.257,0.000,0.105,0.895
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),250,0.137,0.121,0.108,0.174,0.137,0.089,0.064,0.065,0.105,0.082,0.260,0.236,0.237,0.185,0.868,0.037,0.003,0.059,0.000,0.014,0.019,0.049,0.334,0.666,0.124,0.264,0.000,0.126,0.874
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),253,0.127,0.119,0.119,0.174,0.126,0.099,0.060,0.072,0.104,0.080,0.261,0.251,0.230,0.178,0.909,0.037,0.003,0.025,0.000,0.012,0.014,0.042,0.348,0.652,0.131,0.283,0.000,0.098,0.902
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),295,0.130,0.124,0.120,0.202,0.136,0.096,0.069,0.061,0.062,0.070,0.282,0.272,0.209,0.167,0.906,0.024,0.005,0.037,0.000,0.011,0.017,0.041,0.321,0.679,0.118,0.259,0.000,0.114,0.886
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),205,0.123,0.120,0.111,0.183,0.141,0.098,0.061,0.070,0.093,0.085,0.268,0.242,0.243,0.162,0.866,0.025,0.003,0.077,0.001,0.011,0.017,0.044,0.339,0.661,0.121,0.272,0.000,0.104,0.896
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),179,0.132,0.105,0.116,0.179,0.137,0.094,0.067,0.077,0.093,0.074,0.248,0.256,0.238,0.184,0.904,0.021,0.002,0.042,0.002,0.015,0.014,0.048,0.328,0.672,0.118,0.265,0.000,0.143,0.857
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),219,0.111,0.106,0.117,0.177,0.151,0.096,0.076,0.081,0.085,0.072,0.247,0.242,0.257,0.182,0.858,0.040,0.002,0.052,0.000,0.027,0.021,0.076,0.377,0.623,0.159,0.302,0.000,0.164,0.836
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),167,0.108,0.113,0.094,0.145,0.137,0.108,0.072,0.099,0.124,0.066,0.239,0.226,0.260,0.209,0.859,0.036,0.001,0.066,0.000,0.017,0.021,0.066,0.379,0.621,0.141,0.310,0.000,0.168,0.832
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),155,0.148,0.113,0.114,0.166,0.143,0.107,0.061,0.081,0.067,0.098,0.266,0.242,0.230,0.164,0.859,0.043,0.006,0.043,0.000,0.028,0.021,0.073,0.345,0.655,0.135,0.273,0.000,0.231,0.769
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),65,0.151,0.137,0.096,0.171,0.143,0.092,0.061,0.069,0.080,0.066,0.299,0.242,0.222,0.171,0.907,0.019,0.002,0.050,0.000,0.006,0.016,0.050,0.370,0.630,0.143,0.291,0.000,0.208,0.792
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),22: 9pm (9pm-10pm),40,0.149,0.109,0.095,0.170,0.088,0.102,0.053,0.080,0.154,0.080,0.239,0.194,0.227,0.260,0.795,0.102,0.001,0.053,0.000,0.023,0.026,0.076,0.234,0.766,0.108,0.165,0.000,0.206,0.794
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),23: 10pm (10pm-11pm),20,0.148,0.099,0.110,0.175,0.160,0.089,0.071,0.088,0.060,0.107,0.265,0.207,0.230,0.191,0.756,0.098,0.002,0.099,0.000,0.027,0.018,0.108,0.321,0.679,0.123,0.256,0.000,0.398,0.602
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),24: 11pm (11pm-12am),3,0.173,0.126,0.094,0.329,0.118,0.137,0.023,0.000,0.000,0.077,0.249,0.239,0.304,0.131,0.923,0.023,0.018,0.010,0.000,0.000,0.026,0.014,0.041,0.959,0.008,0.033,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),00: All Day (12am-12am),3130,0.131,0.124,0.116,0.175,0.137,0.100,0.066,0.070,0.081,0.087,0.266,0.256,0.225,0.166,0.873,0.042,0.003,0.047,0.000,0.016,0.019,0.057,0.328,0.672,0.131,0.258,0.004,0.187,0.809
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),01: 12am (12am-1am),5,0.151,0.114,0.060,0.183,0.283,0.130,0.000,0.079,0.000,0.071,0.269,0.213,0.368,0.079,0.944,0.010,0.000,0.023,0.000,0.004,0.019,0.000,0.347,0.653,0.111,0.291,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),03: 2am (2am-3am),9,0.104,0.172,0.113,0.248,0.074,0.099,0.103,0.086,0.001,0.205,0.338,0.302,0.126,0.029,0.929,0.006,0.000,0.007,0.000,0.038,0.020,0.053,0.257,0.743,0.118,0.207,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),04: 3am (3am-4am),28,0.098,0.109,0.117,0.162,0.162,0.131,0.079,0.081,0.061,0.072,0.310,0.265,0.225,0.128,0.912,0.034,0.001,0.030,0.000,0.006,0.017,0.031,0.337,0.663,0.117,0.274,0.000,0.361,0.639
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),05: 4am (4am-5am),234,0.116,0.101,0.108,0.168,0.149,0.101,0.080,0.083,0.094,0.075,0.238,0.248,0.237,0.202,0.868,0.038,0.003,0.061,0.000,0.011,0.019,0.048,0.356,0.644,0.136,0.289,0.000,0.396,0.604
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),06: 5am (5am-6am),192,0.138,0.128,0.106,0.170,0.138,0.098,0.060,0.073,0.089,0.096,0.272,0.252,0.208,0.172,0.874,0.042,0.003,0.044,0.000,0.020,0.017,0.061,0.297,0.703,0.111,0.238,0.000,0.333,0.667
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),07: 6am (6am-7am),48,0.119,0.081,0.131,0.148,0.151,0.117,0.083,0.087,0.083,0.083,0.229,0.224,0.284,0.180,0.862,0.039,0.001,0.067,0.000,0.018,0.013,0.069,0.311,0.689,0.144,0.242,0.000,0.338,0.662
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),08: 7am (7am-8am),54,0.151,0.119,0.143,0.215,0.140,0.085,0.062,0.049,0.036,0.090,0.294,0.286,0.199,0.131,0.888,0.041,0.003,0.036,0.000,0.009,0.023,0.049,0.287,0.713,0.103,0.233,0.041,0.577,0.382
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),09: 8am (8am-9am),74,0.129,0.107,0.095,0.217,0.169,0.093,0.081,0.058,0.051,0.093,0.263,0.295,0.209,0.140,0.895,0.025,0.007,0.032,0.000,0.018,0.023,0.066,0.309,0.691,0.118,0.253,0.000,0.241,0.759
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),10: 9am (9am-10am),151,0.116,0.123,0.108,0.166,0.137,0.102,0.071,0.073,0.104,0.073,0.252,0.254,0.233,0.188,0.907,0.024,0.001,0.047,0.001,0.006,0.014,0.041,0.331,0.669,0.107,0.268,0.000,0.374,0.626
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),11: 10am (10am-11am),187,0.134,0.129,0.130,0.184,0.142,0.094,0.050,0.065,0.072,0.078,0.281,0.282,0.212,0.147,0.905,0.036,0.003,0.032,0.000,0.009,0.015,0.040,0.305,0.695,0.118,0.238,0.010,0.226,0.764
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),12: 11am (11am-12noon),256,0.136,0.124,0.114,0.173,0.124,0.094,0.064,0.070,0.101,0.088,0.248,0.258,0.227,0.179,0.851,0.070,0.002,0.037,0.001,0.020,0.019,0.052,0.326,0.674,0.129,0.260,0.009,0.135,0.856
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),13: 12pm (12noon-1pm),231,0.123,0.124,0.131,0.199,0.143,0.097,0.064,0.053,0.066,0.087,0.295,0.271,0.205,0.142,0.872,0.057,0.003,0.041,0.000,0.013,0.014,0.045,0.335,0.665,0.141,0.260,0.016,0.126,0.858
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),14: 1pm (1pm-2pm),239,0.130,0.136,0.125,0.171,0.134,0.095,0.064,0.069,0.076,0.097,0.278,0.239,0.227,0.159,0.869,0.034,0.003,0.050,0.000,0.027,0.017,0.073,0.322,0.678,0.125,0.254,0.008,0.072,0.920
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),15: 2pm (2pm-3pm),242,0.140,0.128,0.115,0.184,0.133,0.103,0.064,0.066,0.067,0.083,0.275,0.260,0.229,0.153,0.895,0.034,0.002,0.034,0.000,0.017,0.018,0.057,0.340,0.660,0.148,0.260,0.000,0.089,0.911
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),16: 3pm (3pm-4pm),227,0.122,0.128,0.115,0.176,0.136,0.101,0.062,0.066,0.094,0.085,0.272,0.245,0.223,0.175,0.882,0.032,0.006,0.049,0.001,0.012,0.018,0.047,0.342,0.658,0.139,0.276,0.000,0.081,0.919
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),17: 4pm (4pm-5pm),206,0.125,0.130,0.116,0.174,0.128,0.117,0.072,0.064,0.074,0.086,0.253,0.254,0.246,0.161,0.874,0.043,0.003,0.046,0.000,0.017,0.017,0.061,0.333,0.667,0.131,0.254,0.000,0.088,0.912
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),18: 5pm (5pm-6pm),194,0.136,0.122,0.105,0.157,0.139,0.095,0.065,0.078,0.103,0.081,0.240,0.248,0.245,0.186,0.885,0.038,0.003,0.046,0.000,0.010,0.018,0.066,0.311,0.689,0.122,0.241,0.000,0.080,0.920
