,Year,Month,Day,DOW,Day Part,Count
102,2019.0,MAY,5.0,Sun,3:00,0.0
103,2019.0,MAY,5.0,Sun,4:00,1.0
104,2019.0,MAY,5.0,Sun,5:00,34.0
105,2019.0,MAY,5.0,Sun,6:00,20.0
106,2019.0,MAY,5.0,Sun,7:00,1.0
107,2019.0,MAY,5.0,Sun,8:00,1.0
108,2019.0,MAY,5.0,Sun,9:00,17.0
109,2019.0,MAY,5.0,Sun,10:00,22.0
110,2019.0,MAY,5.0,Sun,11:00,34.0
111,2019.0,MAY,5.0,Sun,12:00,52.0
112,2019.0,MAY,5.0,Sun,13:00,53.0
113,2019.0,MAY,5.0,Sun,14:00,50.0
114,2019.0,MAY,5.0,Sun,15:00,55.0
115,2019.0,MAY,5.0,Sun,16:00,62.0
116,2019.0,MAY,5.0,Sun,17:00,51.0
117,2019.0,MAY,5.0,Sun,18:00,15.0
118,2019.0,MAY,5.0,Sun,19:00,35.0
119,2019.0,MAY,5.0,Sun,20:00,26.0
120,2019.0,MAY,5.0,Sun,21:00,3.0
121,2019.0,MAY,5.0,Sun,22:00,4.0
122,2019.0,MAY,5.0,Sun,23:00,0.0
123,2019.0,MAY,5.0,Sun,24:00,0.0
124,2019.0,MAY,5.0,Sun,Total,536.0
125,2019.0,MAY,6.0,Mon,1:00,2.0
126,2019.0,MAY,6.0,Mon,2:00,0.0
127,2019.0,MAY,6.0,Mon,3:00,0.0
128,2019.0,MAY,6.0,Mon,4:00,0.0
129,2019.0,MAY,6.0,Mon,5:00,30.0
130,2019.0,MAY,6.0,Mon,6:00,7.0
131,2019.0,MAY,6.0,Mon,7:00,0.0
132,2019.0,MAY,6.0,Mon,8:00,4.0
133,2019.0,MAY,6.0,Mon,9:00,7.0
134,2019.0,MAY,6.0,Mon,10:00,21.0
135,2019.0,MAY,6.0,Mon,11:00,37.0
136,2019.0,MAY,6.0,Mon,12:00,50.0
137,2019.0,MAY,6.0,Mon,13:00,41.0
138,2019.0,MAY,6.0,Mon,14:00,38.0
139,2019.0,MAY,6.0,Mon,15:00,57.0
140,2019.0,MAY,6.0,Mon,16:00,45.0
141,2019.0,MAY,6.0,Mon,17:00,26.0
142,2019.0,MAY,6.0,Mon,18:00,19.0
143,2019.0,MAY,6.0,Mon,19:00,27.0
144,2019.0,MAY,6.0,Mon,20:00,50.0
145,2019.0,MAY,6.0,Mon,21:00,5.0
146,2019.0,MAY,6.0,Mon,22:00,6.0
147,2019.0,MAY,6.0,Mon,23:00,2.0
148,2019.0,MAY,6.0,Mon,24:00,1.0
149,2019.0,MAY,6.0,Mon,Total,475.0
150,2019.0,MAY,7.0,Tues,1:00,1.0
151,2019.0,MAY,7.0,Tues,2:00,0.0
152,2019.0,MAY,7.0,Tues,3:00,1.0
153,2019.0,MAY,7.0,Tues,4:00,2.0
154,2019.0,MAY,7.0,Tues,5:00,24.0
155,2019.0,MAY,7.0,Tues,6:00,6.0
156,2019.0,MAY,7.0,Tues,7:00,3.0
157,2019.0,MAY,7.0,Tues,8:00,3.0
158,2019.0,MAY,7.0,Tues,9:00,9.0
159,2019.0,MAY,7.0,Tues,10:00,17.0
160,2019.0,MAY,7.0,Tues,11:00,33.0
161,2019.0,MAY,7.0,Tues,12:00,33.0
162,2019.0,MAY,7.0,Tues,13:00,22.0
163,2019.0,MAY,7.0,Tues,14:00,24.0
164,2019.0,MAY,7.0,Tues,15:00,25.0
165,2019.0,MAY,7.0,Tues,16:00,19.0
166,2019.0,MAY,7.0,Tues,17:00,9.0
167,2019.0,MAY,7.0,Tues,18:00,5.0
168,2019.0,MAY,7.0,Tues,19:00,5.0
169,2019.0,MAY,7.0,Tues,20:00,4.0
170,2019.0,MAY,7.0,Tues,21:00,0.0
171,2019.0,MAY,7.0,Tues,22:00,0.0
172,2019.0,MAY,7.0,Tues,23:00,1.0
173,2019.0,MAY,7.0,Tues,24:00,0.0
174,2019.0,MAY,7.0,Tues,Total,246.0
175,2019.0,MAY,8.0,Wed,1:00,0.0
176,2019.0,MAY,8.0,Wed,2:00,1.0
177,2019.0,MAY,8.0,Wed,3:00,0.0
178,2019.0,MAY,8.0,Wed,4:00,5.0
179,2019.0,MAY,8.0,Wed,5:00,50.0
