day type name,value,pre or post
M - M,7030,Post
Tu - Tu,7414,Post
W - W,7733,Post
Th - Th,6600,Post
F - F,6761,Post
Sa - Sa,6799,Post
Su - Su,6440,Post
M - M,5060,Pre
Tu - Tu,5431,Pre
W - W,4614,Pre
Th - Th,5560,Pre
F - F,5546,Pre
Sa - Sa,7633,Pre
Su - Su,7058,Pre
