Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),330,2940,2929,18.7,18.3,18,18,3.039,0.020,0.156,0.218,0.164,0.102,0.086,0.070,0.027,0.035,0.039,0.008,0.008,0.008,0.012,0.016,0.031,0.004,0.000,0.207,0.366,0.207,0.074,0.020,0.020,0.043,0.016,0.008,0.000,0.004,0.031,0.078,0.614,0.215,0.070,0.023,0.000,0.000,0.000,0.340,0.332,0.109,0.121,0.043,0.055
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),351,2441,2475,11.8,11.7,16,16,3.335,0.015,0.162,0.251,0.154,0.154,0.096,0.066,0.022,0.018,0.026,0.018,0.007,0.000,0.000,0.000,0.011,0.000,0.004,0.232,0.419,0.217,0.081,0.000,0.029,0.007,0.004,0.000,0.000,0.000,0.007,0.151,0.639,0.180,0.026,0.004,0.000,0.000,0.000,0.213,0.349,0.158,0.136,0.063,0.081
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),345,2310,2536,11.2,12.2,16,16,3.574,0.011,0.172,0.287,0.199,0.097,0.067,0.052,0.030,0.011,0.022,0.007,0.015,0.011,0.000,0.004,0.015,0.000,0.007,0.236,0.437,0.202,0.045,0.022,0.011,0.022,0.000,0.011,0.000,0.000,0.007,0.157,0.618,0.184,0.037,0.004,0.000,0.000,0.000,0.206,0.333,0.225,0.105,0.067,0.064
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),293,2545,2501,12.6,12.4,16,16,3.733,0.013,0.154,0.247,0.194,0.159,0.084,0.040,0.022,0.022,0.009,0.009,0.013,0.004,0.004,0.013,0.013,0.004,0.004,0.256,0.345,0.269,0.053,0.031,0.004,0.009,0.004,0.004,0.004,0.009,0.004,0.167,0.583,0.220,0.022,0.004,0.000,0.000,0.004,0.163,0.325,0.238,0.159,0.062,0.053
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),266,2143,2245,9.3,10.2,16,16,3.959,0.010,0.199,0.281,0.184,0.112,0.087,0.049,0.015,0.019,0.024,0.005,0.000,0.000,0.000,0.010,0.005,0.000,0.005,0.233,0.456,0.228,0.034,0.005,0.010,0.024,0.005,0.000,0.000,0.000,0.000,0.131,0.646,0.199,0.024,0.000,0.000,0.000,0.000,0.150,0.423,0.180,0.121,0.029,0.097
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),190,2777,2833,15.8,16.0,17,17,3.505,0.007,0.129,0.265,0.184,0.150,0.095,0.068,0.020,0.020,0.007,0.007,0.014,0.000,0.000,0.007,0.027,0.000,0.007,0.211,0.348,0.286,0.061,0.020,0.020,0.020,0.007,0.000,0.000,0.000,0.020,0.095,0.646,0.197,0.048,0.007,0.000,0.007,0.000,0.163,0.381,0.218,0.109,0.075,0.054
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),213,2260,2389,10.4,11.1,16,16,3.633,0.006,0.121,0.256,0.230,0.139,0.097,0.067,0.018,0.030,0.018,0.006,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0.139,0.492,0.224,0.115,0.012,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.152,0.600,0.206,0.042,0.000,0.000,0.000,0.000,0.218,0.437,0.127,0.085,0.048,0.085
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),207,2144,2180,10.0,10.2,17,17,3.368,0.000,0.131,0.287,0.219,0.188,0.094,0.038,0.031,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.106,0.518,0.288,0.063,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.625,0.238,0.006,0.006,0.006,0.000,0.000,0.194,0.543,0.125,0.038,0.031,0.069
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),17,2438,2438,13.8,13.8,21,21,3.171,0.000,0.230,0.154,0.154,0.231,0.154,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.231,0.154,0.384,0.154,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.308,0.461,0.154,0.000,0.000,0.000,0.000,0.307,0.308,0.154,0.154,0.000,0.077
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),13,2431,2431,13.3,13.3,20,20,2.725,0.000,0.100,0.400,0.200,0.000,0.100,0.100,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.400,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.400,0.000,0.000,0.000,0.000,0.000,0.300,0.300,0.200,0.200,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),8,1391,1688,7.8,9.2,21,20,2.759,0.000,0.333,0.333,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.833,0.000,0.167,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),1,1848,1848,6.5,6.5,13,13,2.350,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),4682,2711,2704,16.5,16.4,18,19,3.019,0.006,0.128,0.248,0.216,0.128,0.083,0.051,0.028,0.036,0.024,0.009,0.009,0.000,0.006,0.004,0.024,0.000,0.002,0.171,0.402,0.220,0.092,0.024,0.019,0.034,0.011,0.002,0.000,0.004,0.019,0.135,0.508,0.263,0.073,0.017,0.002,0.000,0.002,0.295,0.362,0.162,0.098,0.036,0.047
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),04: 3am (3am-4am),200,1853,1853,9.0,9.0,17,17,2.332,0.000,0.250,0.250,0.200,0.200,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.300,0.200,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.450,0.400,0.000,0.000,0.000,0.000,0.000,0.300,0.650,0.050,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),250,2159,2159,12.6,12.6,20,20,2.201,0.000,0.160,0.400,0.160,0.120,0.000,0.120,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.480,0.240,0.160,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.040,0.560,0.320,0.080,0.000,0.000,0.000,0.000,0.400,0.440,0.160,0.000,0.000,0.000
