Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),11: 10am (10am-11am),306,2659,2722,14.8,14.8,17,17,2.943,0.010,0.106,0.227,0.207,0.133,0.107,0.070,0.034,0.032,0.022,0.015,0.009,0.006,0.008,0.002,0.012,0.000,0.002,0.135,0.459,0.209,0.086,0.031,0.028,0.025,0.006,0.007,0.001,0.000,0.011,0.141,0.568,0.211,0.070,0.009,0.001,0.000,0.000,0.310,0.405,0.112,0.085,0.033,0.055
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),322,2851,2879,16.6,16.3,18,18,3.292,0.014,0.127,0.215,0.193,0.134,0.085,0.062,0.036,0.031,0.016,0.024,0.017,0.013,0.002,0.008,0.023,0.000,0.002,0.168,0.421,0.203,0.089,0.026,0.015,0.029,0.015,0.008,0.005,0.004,0.015,0.132,0.564,0.227,0.067,0.009,0.001,0.000,0.000,0.287,0.300,0.199,0.089,0.047,0.078
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),306,2927,2931,18.8,18.2,18,18,3.319,0.013,0.135,0.226,0.206,0.109,0.076,0.052,0.036,0.027,0.025,0.018,0.009,0.015,0.014,0.007,0.032,0.001,0.002,0.185,0.401,0.200,0.080,0.019,0.014,0.041,0.012,0.008,0.010,0.002,0.025,0.107,0.589,0.212,0.069,0.016,0.007,0.000,0.000,0.304,0.300,0.141,0.115,0.063,0.077
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),351,2425,2495,12.3,12.6,16,16,3.314,0.015,0.159,0.251,0.199,0.132,0.079,0.050,0.027,0.017,0.020,0.014,0.011,0.008,0.002,0.004,0.012,0.002,0.005,0.197,0.474,0.188,0.060,0.015,0.023,0.014,0.009,0.000,0.002,0.001,0.010,0.145,0.638,0.174,0.037,0.005,0.001,0.000,0.000,0.216,0.363,0.160,0.140,0.044,0.077
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),302,2453,2566,12.5,12.9,16,16,3.657,0.010,0.167,0.249,0.200,0.116,0.081,0.051,0.038,0.029,0.013,0.010,0.008,0.006,0.003,0.003,0.016,0.000,0.002,0.218,0.432,0.212,0.071,0.019,0.012,0.015,0.001,0.004,0.002,0.001,0.011,0.148,0.613,0.203,0.028,0.006,0.002,0.000,0.000,0.189,0.354,0.185,0.147,0.057,0.068
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),253,2385,2491,12.0,12.5,16,16,3.767,0.018,0.168,0.228,0.200,0.140,0.088,0.054,0.022,0.023,0.013,0.010,0.011,0.006,0.002,0.005,0.012,0.002,0.005,0.217,0.413,0.254,0.047,0.026,0.005,0.010,0.006,0.004,0.002,0.002,0.007,0.140,0.629,0.192,0.029,0.007,0.002,0.000,0.001,0.174,0.348,0.181,0.140,0.080,0.077
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),218,2283,2392,10.8,11.6,16,16,3.686,0.013,0.149,0.259,0.215,0.130,0.090,0.059,0.025,0.017,0.013,0.008,0.004,0.003,0.001,0.004,0.010,0.000,0.007,0.189,0.450,0.251,0.051,0.017,0.007,0.014,0.004,0.003,0.003,0.001,0.003,0.144,0.598,0.227,0.030,0.000,0.001,0.000,0.000,0.163,0.393,0.175,0.137,0.049,0.083
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),196,2555,2670,14.7,14.9,18,17,3.843,0.013,0.134,0.229,0.224,0.142,0.086,0.042,0.042,0.022,0.016,0.006,0.005,0.008,0.002,0.003,0.026,0.000,0.005,0.171,0.416,0.267,0.062,0.021,0.014,0.013,0.005,0.003,0.002,0.000,0.021,0.112,0.609,0.218,0.043,0.008,0.008,0.002,0.000,0.181,0.379,0.176,0.120,0.061,0.083
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),171,2238,2408,10.8,11.9,16,17,3.669,0.009,0.143,0.227,0.256,0.143,0.086,0.060,0.026,0.014,0.007,0.007,0.003,0.005,0.003,0.002,0.009,0.000,0.000,0.148,0.496,0.241,0.077,0.015,0.003,0.010,0.000,0.000,0.003,0.002,0.005,0.133,0.612,0.220,0.033,0.000,0.000,0.002,0.000,0.194,0.434,0.157,0.090,0.034,0.091
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),115,2289,2356,11.6,11.9,17,17,3.319,0.005,0.114,0.272,0.221,0.177,0.091,0.044,0.031,0.010,0.013,0.013,0.003,0.000,0.003,0.000,0.003,0.000,0.000,0.086,0.518,0.286,0.060,0.029,0.010,0.005,0.003,0.000,0.000,0.000,0.003,0.114,0.577,0.270,0.031,0.005,0.003,0.000,0.000,0.184,0.533,0.125,0.049,0.039,0.070
