day type name,day part name,value
M - Su,4am - 5am,11.0
M - Su,5am - 6am,91.0
M - Su,6am - 7am,22.0
M - Su,7am - 8am,30.0
M - Su,8am - 9am,38.0
M - Su,9am - 10am,56.0
M - Su,10am - 11am,81.0
M - Su,11am - 12pm,89.0
M - Su,12pm - 1pm,96.0
M - Su,1pm - 2pm,101.0
M - Su,2pm - 3pm,114.0
M - Su,3pm - 4pm,116.0
M - Su,4pm - 5pm,94.0
M - Su,5pm - 6pm,79.0
M - Su,6pm - 7pm,54.0
M - Su,7pm - 8pm,69.0
M - Su,8pm - 9pm,48.0
M - Su,9pm - 10pm,10.0
M - Su,10pm - 11pm,4.0
