Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,7: Sunday (Su-Su),00: All Day (12am-12am),136,1807,1807,4.0,4.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),61,1990,1990,5.3,5.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),19,990,990,2.1,2.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),56,2440,2440,4.6,4.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),00: All Day (12am-12am),277,3330,3301,20.9,20.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),05: 4am (4am-5am),1,1467,1467,6.0,6.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),06: 5am (5am-6am),12,3958,3882,39.6,38.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),07: 6am (6am-7am),11,2153,2443,10.2,10.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),08: 7am (7am-8am),9,2561,2648,11.7,11.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),09: 8am (8am-9am),5,2231,2231,4.6,4.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),10: 9am (9am-10am),4,3099,3023,12.1,11.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),11: 10am (10am-11am),22,2423,2716,9.1,9.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),12: 11am (11am-12noon),24,3477,3328,18.0,16.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),13: 12pm (12noon-1pm),16,4089,3418,20.9,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),14: 1pm (1pm-2pm),25,2929,2800,11.5,10.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),15: 2pm (2pm-3pm),16,6551,6411,67.4,63.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),16: 3pm (3pm-4pm),25,3560,3440,26.5,25.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),17: 4pm (4pm-5pm),18,3023,3057,11.6,12.3
