Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),11: 10am (10am-11am),55,2834,3064,19.7,20.6,21,21,2.991,0.032,0.188,0.200,0.113,0.134,0.070,0.058,0.047,0.028,0.023,0.013,0.015,0.004,0.015,0.009,0.051,0.000,0.006,0.149,0.341,0.254,0.104,0.045,0.017,0.013,0.017,0.004,0.009,0.009,0.032,0.075,0.435,0.343,0.119,0.017,0.011,0.000,0.000,0.603,0.166,0.094,0.049,0.013,0.075
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),12: 11am (11am-12noon),123,3160,3331,21.4,21.7,21,20,3.002,0.018,0.168,0.177,0.136,0.092,0.086,0.080,0.040,0.045,0.035,0.026,0.012,0.014,0.009,0.011,0.051,0.002,0.002,0.120,0.343,0.263,0.114,0.037,0.020,0.028,0.022,0.003,0.003,0.003,0.040,0.082,0.489,0.291,0.109,0.017,0.009,0.003,0.000,0.551,0.202,0.105,0.057,0.022,0.063
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),13: 12pm (12noon-1pm),97,2663,2832,17.3,17.9,21,20,2.725,0.043,0.186,0.184,0.150,0.090,0.092,0.076,0.053,0.031,0.019,0.012,0.006,0.015,0.000,0.004,0.039,0.000,0.008,0.143,0.353,0.270,0.119,0.029,0.015,0.015,0.012,0.004,0.006,0.001,0.025,0.069,0.475,0.331,0.094,0.021,0.010,0.000,0.000,0.584,0.211,0.082,0.049,0.019,0.055
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),14: 1pm (1pm-2pm),101,2811,2945,18.6,19.2,21,21,2.585,0.031,0.179,0.196,0.148,0.118,0.070,0.071,0.041,0.037,0.023,0.019,0.008,0.014,0.008,0.003,0.034,0.000,0.003,0.152,0.314,0.285,0.127,0.030,0.025,0.016,0.008,0.005,0.003,0.007,0.025,0.066,0.423,0.361,0.119,0.022,0.008,0.001,0.000,0.600,0.211,0.088,0.048,0.019,0.034
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),15: 2pm (2pm-3pm),109,2788,2914,16.9,17.7,20,20,2.819,0.030,0.177,0.190,0.139,0.117,0.106,0.050,0.059,0.033,0.008,0.018,0.012,0.009,0.009,0.008,0.035,0.000,0.003,0.177,0.272,0.325,0.105,0.035,0.029,0.009,0.013,0.007,0.001,0.000,0.024,0.077,0.460,0.337,0.109,0.013,0.003,0.001,0.000,0.553,0.236,0.115,0.051,0.014,0.031
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),16: 3pm (3pm-4pm),114,2883,3054,20.2,20.8,21,21,2.806,0.028,0.215,0.186,0.128,0.099,0.078,0.059,0.040,0.029,0.036,0.014,0.015,0.017,0.004,0.006,0.046,0.000,0.001,0.188,0.298,0.247,0.119,0.041,0.024,0.022,0.014,0.008,0.005,0.004,0.029,0.060,0.426,0.383,0.102,0.020,0.008,0.001,0.000,0.583,0.216,0.083,0.056,0.024,0.038
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),17: 4pm (4pm-5pm),90,2847,3045,18.0,18.7,21,20,2.743,0.032,0.158,0.179,0.148,0.115,0.092,0.068,0.045,0.032,0.031,0.027,0.014,0.011,0.007,0.004,0.037,0.000,0.001,0.165,0.285,0.298,0.117,0.032,0.018,0.032,0.014,0.014,0.003,0.003,0.018,0.076,0.473,0.308,0.118,0.021,0.003,0.001,0.000,0.590,0.210,0.076,0.042,0.023,0.059
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),18: 5pm (5pm-6pm),57,2877,2988,18.4,18.9,21,21,2.911,0.023,0.195,0.161,0.123,0.123,0.102,0.089,0.049,0.027,0.023,0.011,0.006,0.009,0.015,0.006,0.038,0.000,0.000,0.178,0.280,0.256,0.154,0.042,0.025,0.017,0.015,0.002,0.006,0.002,0.023,0.074,0.421,0.374,0.116,0.011,0.004,0.000,0.000,0.632,0.180,0.085,0.046,0.013,0.044
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),19: 6pm (6pm-7pm),32,2848,3034,18.8,19.6,21,21,3.557,0.054,0.147,0.153,0.118,0.115,0.109,0.077,0.051,0.051,0.019,0.032,0.016,0.016,0.006,0.010,0.026,0.000,0.006,0.153,0.249,0.286,0.137,0.067,0.019,0.026,0.016,0.013,0.003,0.006,0.019,0.064,0.428,0.355,0.115,0.035,0.003,0.000,0.000,0.579,0.188,0.083,0.035,0.029,0.086
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),20: 7pm (7pm-8pm),21,3416,3558,23.0,22.7,22,21,5.470,0.028,0.116,0.150,0.102,0.116,0.084,0.116,0.079,0.042,0.065,0.023,0.019,0.000,0.009,0.009,0.042,0.000,0.000,0.102,0.219,0.317,0.181,0.074,0.037,0.019,0.019,0.009,0.000,0.000,0.023,0.060,0.419,0.395,0.107,0.014,0.005,0.000,0.000,0.475,0.209,0.088,0.033,0.023,0.172
