Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,0: All Days (M-Su),21: 8pm (8pm-9pm),14,3522,3522,23.2,23.2,24,24,1.498,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.667,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,1: Monday (M-M),00: All Day (12am-12am),96,2800,2800,17.3,17.3,20,20,1.382,0.000,0.334,0.000,0.000,0.000,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,1: Monday (M-M),15: 2pm (2pm-3pm),19,911,911,3.0,3.0,12,12,1.050,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,1: Monday (M-M),21: 8pm (8pm-9pm),77,3745,3745,24.5,24.5,24,24,1.548,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),150,1354,1354,3.9,3.9,12,12,1.358,0.000,0.333,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.667,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),82,1772,1772,2.8,2.8,6,6,1.554,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),19,648,648,3.5,3.5,20,20,1.077,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),49,1643,1643,5.4,5.4,12,12,1.442,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,3: Wednesday (W-W),00: All Day (12am-12am),164,1826,1826,6.9,6.9,12,12,1.508,0.000,0.600,0.000,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.200,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.800,0.200,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,3: Wednesday (W-W),12: 11am (11am-12noon),19,1155,1155,1.7,1.7,5,5,1.438,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),68,1938,1938,4.1,4.1,7,7,1.691,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),58,1022,1022,4.2,4.2,15,15,1.323,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,0,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),19,3075,3075,20.6,20.6,24,24,1.397,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
