Full_Date,value,temp,humidity,wind_speed,rain_1h
8/18/2019,2096,61.93961538,93.38461538,3.901923077,15.44
8/19/2019,1594,63.92708333,92.29166667,4.385416667,6.03
8/20/2019,2643,69.94833333,76.16666667,5.93125,0
8/21/2019,1704,65.35846154,84.69230769,3.843076923,3
8/22/2019,1840,68.50777778,87.44444444,7.775925926,16.56
8/23/2019,1824,68.41166667,74.29166667,6.47625,0
8/24/2019,1954,62.59,68.33333333,8.250833333,0
8/25/2019,2168,58.89166667,72.33333333,4.399583333,0
8/26/2019,1616,58.5625,73.54166667,3.42875,0
8/27/2019,1803,60.74208333,75.58333333,4.694166667,0
8/28/2019,1784,61.31875,80.45833333,4.24875,0
8/29/2019,1276,64.6290625,92,5.409375,74.6
8/30/2019,2141,65.91375,82.29166667,8.825,0
8/31/2019,2558,64.22666667,71.83333333,7.065416667,0
9/1/2019,2820,59.62666667,67.70833333,5.109166667,0
9/2/2019,1270,56.53375,85.41666667,3.790833333,0
9/3/2019,1781,61.86285714,88.10714286,3.5125,7.3
9/4/2019,938,59.1336,90.52,7.6384,0.94
9/5/2019,2273,61.44625,73.25,10.38833333,0
9/6/2019,1552,56.37,73.54166667,4.36,0
9/7/2019,816,53.3544,85.64,8.7576,43.75
9/8/2019,1999,54.56791667,76.54166667,8.15625,0
9/9/2019,1710,55.91375,76.08333333,6.619166667,0
9/10/2019,1759,56.78375,75.58333333,4.955416667,0
9/11/2019,1238,62.4262963,87.07407407,15.02518519,8.02
9/12/2019,1671,58.73333333,80.70833333,6.8075,0
9/13/2019,2053,53.78625,68.375,4.974166667,0
9/14/2019,1260,52.9424,80.52,9.878,0.62
9/15/2019,1968,63.66541667,76.91666667,12.085,1.24
9/16/2019,1504,57.52833333,74.375,8.687083333,0.51
9/17/2019,1543,56.97708333,75.66666667,6.710833333,0
9/18/2019,1839,52.34666667,71.20833333,4.540416667,0.28
9/19/2019,1625,50.72583333,72.375,3.91375,0
9/20/2019,1605,57.26458333,73.29166667,5.519166667,0
9/21/2019,2145,65.93416667,64.875,8.291666667,0
9/22/2019,1922,61.61916667,82.625,5.202083333,0
9/23/2019,1599,66.17666667,84.20833333,11.5725,0
9/24/2019,1277,64.846,86.72,5.8096,14.06
9/25/2019,2042,55.5375,84.875,7.009583333,0.76
9/26/2019,1633,57.20416667,85.70833333,5.301666667,0.15
9/27/2019,2108,58.1992,80.12,10.4216,14.72
9/28/2019,2232,58.12458333,83.79166667,7.74625,0
9/29/2019,2367,59.3092,80.44,8.4344,1.85
9/30/2019,2182,47.57208333,66.79166667,6.38375,0
10/1/2019,1111,49.96115385,84.03846154,5.143846154,3.02
10/2/2019,1654,55.9775,84.54166667,12.38208333,10.66
10/3/2019,2236,43.34583333,70.25,7.044583333,0
10/4/2019,1655,45.02230769,79.03846154,6.692692308,3.38
10/5/2019,2487,44.20875,66.45833333,10.01416667,0
10/6/2019,2048,47.66541667,76.25,8.744583333,0
10/7/2019,1265,58.71612903,89.06451613,16.25967742,11.3
10/8/2019,2059,55.75916667,84.20833333,5.58125,8.71
10/9/2019,2263,51.32333333,74.95833333,4.708333333,0
10/10/2019,1703,50.54625,73.95833333,5.460416667,0
10/11/2019,1813,52.70958333,67,8.29125,0
