Full_Date,temp,humidity,wind_speed,rain_1h
5/1/2019,44.22083333,36.66666667,6.969583333,0
5/2/2019,41.8644,78.92,3.9184,4.74
5/3/2019,43.6724,81.84,4.0828,3.97
5/4/2019,44.64484848,89.54545455,2.724242424,10.4
5/5/2019,50.45625,76.33333333,3.331666667,0
5/6/2019,50.83458333,70.58333333,4.20875,0
5/7/2019,48.8475,70.95833333,10.65958333,3.04
5/8/2019,47.6084,69.2,9.5396,0.68
5/9/2019,46.06416667,47,7.208333333,0
5/10/2019,42.698,81.88,4.0796,22.05
5/11/2019,49.82538462,76.53846154,9.809615385,0.75
5/12/2019,48.69625,49.125,9.458333333,0
5/13/2019,45.45083333,62.75,5.29875,0
5/14/2019,41.14034483,72.79310345,8.963793103,17.11
5/15/2019,39.6537037,81.44444444,8.925185185,3.97
5/16/2019,44.81583333,68.04166667,5.734583333,0
5/17/2019,45.46458333,78.25,3.633333333,1.52
5/18/2019,49.6472,76.4,7.6696,8.89
5/19/2019,47.05625,74.79166667,3.832916667,2.23
5/20/2019,48.92870968,83.25806452,5.08,14.52
5/21/2019,52.555,72.64285714,9.180357143,3.81
5/22/2019,51.44583333,57.20833333,13.12708333,0
5/23/2019,49.13208333,66.29166667,4.000833333,0.33
5/24/2019,47.7516129,83.96774194,6.161612903,17.37
5/25/2019,54.22375,64.75,5.349166667,0
5/26/2019,50.98259259,82.92592593,6.65962963,12.49
5/27/2019,52.67125,82.41666667,3.291666667,0
5/28/2019,47.39083333,65.16666667,3.751666667,3.3
5/29/2019,44.217,89.36666667,4.133666667,12.27
5/30/2019,50.62958333,83.70833333,4.485,0
5/31/2019,52.83038462,75.84615385,5.920384615,0
6/1/2019,52.77583333,71.45833333,3.370416667,0
6/2/2019,52.50958333,87.29166667,4.377083333,0
6/3/2019,54.5652,79.52,5.722,0
6/4/2019,54.255,57.79166667,11.58583333,0
6/5/2019,54.57083333,75.70833333,7.942916667,4.56
6/6/2019,55.97866667,85.26666667,3.675333333,12.8
6/7/2019,59.66625,65.33333333,4.784166667,0
6/8/2019,60.03,57.54166667,7.622083333,0
6/9/2019,58.99958333,57.58333333,4.325416667,0
6/10/2019,60.10166667,64.54166667,7.2,0
6/11/2019,54.582,89.56666667,6.601333333,93.2
6/12/2019,59.99833333,61.125,12.83,0.25
6/13/2019,52.9925,79.57142857,5.558214286,63.82
6/14/2019,54.62,90.24137931,7.24,71.1
6/15/2019,59.47416667,73.875,9.164166667,0
6/16/2019,62.48166667,71.20833333,8.804583333,0.6
6/17/2019,63.90958333,69.25,7.57875,0
6/18/2019,60.42541667,69.04166667,2.624583333,0
6/19/2019,59.57,83.25,3.516666667,0
6/20/2019,54.84793103,92.55172414,4.655862069,25.14
6/21/2019,57.04066667,93.56666667,5.467666667,147.79
6/22/2019,62.9388,71.04,9.1608,0.71
6/23/2019,65.8436,58.24,11.0692,8.62
6/24/2019,61.14625,65.79166667,5.626666667,1.27
6/25/2019,57.58208333,67.25,4.09125,0
