Date,Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust
5/1/2022,55.72654545,54.26909091,51.83854545,59.748,1019.745455,78.05454545,0,8.078727273,0
5/2/2022,59.56273077,59.00323077,55.39515385,64.157,1008.696154,80.51153846,2.925384615,5.361269231,8.770153846
5/3/2022,56.586,55.75995455,52.648,60.01168182,1018.745455,81.20454545,3.159090909,7.762318182,0
5/4/2022,62.61442857,62.23371429,59.71042857,65.54985714,1014.671429,77.84285714,0.031428571,6.113714286,10.58177381
5/5/2022,46.45116667,44.66908333,42.392,50.338,1022.116667,89.10833333,0.321666667,4.920666667,0
5/6/2022,62.54070833,62.19225,59.49979167,66.44116667,1016.720833,78.1625,1.286666667,6.160291667,7.833611111
