Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),161,1232,1232,0.4,0.4,1,1,3.176,0.151,0.127,0.188,0.143,0.175,0.056,0.056,0.032,0.016,0.000,0.008,0.000,0.048,0.928,0.040,0.032,0.000,0.000,0.000,0.476,0.365,0.111,0.032,0.016,0.532,0.167,0.079,0.095,0.040,0.087
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),184,1176,1176,0.3,0.3,1,1,5.598,0.139,0.146,0.206,0.181,0.125,0.063,0.028,0.021,0.021,0.007,0.007,0.014,0.042,0.944,0.028,0.028,0.000,0.000,0.000,0.493,0.368,0.069,0.042,0.028,0.486,0.174,0.090,0.035,0.021,0.194
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),135,1165,1165,0.3,0.3,1,1,5.031,0.160,0.113,0.237,0.132,0.123,0.075,0.047,0.019,0.019,0.009,0.009,0.019,0.038,0.943,0.038,0.019,0.000,0.000,0.000,0.462,0.415,0.094,0.019,0.009,0.472,0.160,0.123,0.066,0.019,0.160
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),114,1169,1169,0.4,0.4,1,1,5.160,0.203,0.135,0.135,0.112,0.112,0.124,0.045,0.056,0.011,0.000,0.034,0.011,0.022,0.933,0.034,0.011,0.022,0.000,0.000,0.472,0.326,0.101,0.067,0.022,0.472,0.180,0.101,0.056,0.022,0.169
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),86,1011,1011,0.2,0.2,1,1,4.915,0.149,0.194,0.223,0.090,0.119,0.045,0.090,0.060,0.000,0.030,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.493,0.388,0.090,0.000,0.015,0.432,0.179,0.075,0.075,0.045,0.194
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),78,1169,1169,0.4,0.4,1,1,7.579,0.082,0.180,0.214,0.098,0.148,0.066,0.082,0.049,0.016,0.049,0.016,0.000,0.000,0.984,0.000,0.000,0.016,0.000,0.000,0.459,0.361,0.098,0.049,0.033,0.409,0.230,0.049,0.033,0.049,0.230
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),47,1420,1420,0.3,0.3,1,1,5.288,0.184,0.026,0.158,0.212,0.184,0.053,0.026,0.026,0.026,0.000,0.000,0.026,0.079,0.974,0.026,0.000,0.000,0.000,0.000,0.526,0.263,0.184,0.000,0.026,0.500,0.211,0.105,0.000,0.026,0.158
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),12,1199,1199,0.2,0.2,1,1,10.669,0.223,0.222,0.111,0.111,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.111,1.000,0.000,0.000,0.000,0.000,0.000,0.444,0.333,0.222,0.000,0.000,0.334,0.111,0.000,0.111,0.111,0.333
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),8,1179,1179,0.3,0.3,1,1,5.831,0.165,0.167,0.000,0.167,0.167,0.000,0.167,0.167,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.666,0.000,0.000,0.167,0.000,0.167
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),2,856,856,0.1,0.1,1,1,2.276,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000
