Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),12: 11am (11am-12noon),338,2777,2801,16.0,15.6,18,17,3.280,0.015,0.130,0.220,0.198,0.134,0.083,0.063,0.036,0.029,0.015,0.021,0.013,0.011,0.002,0.009,0.021,0.000,0.002,0.181,0.427,0.196,0.088,0.023,0.013,0.029,0.012,0.006,0.005,0.004,0.014,0.134,0.574,0.220,0.065,0.007,0.000,0.000,0.000,0.283,0.300,0.204,0.084,0.050,0.079
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),13: 12pm (12noon-1pm),330,2892,2897,18.2,17.6,18,18,3.280,0.013,0.135,0.231,0.208,0.105,0.076,0.052,0.033,0.026,0.026,0.019,0.010,0.015,0.014,0.008,0.029,0.001,0.002,0.193,0.408,0.195,0.072,0.017,0.015,0.040,0.013,0.008,0.011,0.002,0.023,0.115,0.601,0.194,0.069,0.017,0.004,0.000,0.000,0.302,0.308,0.138,0.109,0.068,0.075
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),14: 1pm (1pm-2pm),373,2348,2411,11.5,11.7,16,16,3.322,0.016,0.165,0.259,0.203,0.130,0.075,0.045,0.027,0.017,0.020,0.011,0.009,0.007,0.001,0.004,0.011,0.002,0.006,0.208,0.486,0.184,0.050,0.014,0.022,0.012,0.007,0.000,0.000,0.000,0.009,0.153,0.654,0.158,0.028,0.006,0.001,0.000,0.000,0.207,0.376,0.152,0.144,0.043,0.078
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),15: 2pm (2pm-3pm),315,2418,2535,11.9,12.4,16,16,3.498,0.009,0.157,0.256,0.211,0.120,0.080,0.048,0.038,0.027,0.011,0.009,0.008,0.005,0.002,0.003,0.016,0.000,0.002,0.220,0.439,0.214,0.068,0.017,0.010,0.014,0.001,0.003,0.001,0.001,0.010,0.155,0.630,0.186,0.022,0.006,0.001,0.000,0.000,0.192,0.354,0.186,0.143,0.055,0.070
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),273,2367,2454,11.8,12.0,16,16,3.696,0.017,0.170,0.233,0.206,0.141,0.083,0.050,0.020,0.018,0.015,0.009,0.011,0.007,0.003,0.005,0.012,0.003,0.005,0.222,0.420,0.247,0.045,0.024,0.003,0.007,0.007,0.004,0.003,0.003,0.007,0.151,0.634,0.182,0.024,0.005,0.003,0.000,0.001,0.178,0.356,0.178,0.136,0.077,0.075
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),233,2228,2343,10.1,11.0,16,16,3.647,0.012,0.147,0.263,0.218,0.133,0.091,0.054,0.028,0.017,0.012,0.008,0.002,0.002,0.002,0.003,0.008,0.000,0.008,0.198,0.459,0.243,0.050,0.012,0.006,0.014,0.003,0.000,0.002,0.002,0.003,0.156,0.607,0.209,0.026,0.000,0.002,0.000,0.000,0.166,0.401,0.170,0.135,0.046,0.082
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),214,2480,2594,13.9,14.2,17,17,3.553,0.012,0.132,0.236,0.229,0.148,0.089,0.038,0.041,0.019,0.015,0.005,0.005,0.005,0.002,0.002,0.022,0.000,0.005,0.179,0.421,0.263,0.064,0.019,0.015,0.012,0.003,0.000,0.000,0.000,0.019,0.120,0.616,0.208,0.036,0.009,0.009,0.002,0.000,0.184,0.383,0.177,0.120,0.060,0.076
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),180,2220,2350,10.6,11.3,16,16,3.552,0.009,0.146,0.235,0.251,0.147,0.088,0.050,0.026,0.013,0.006,0.006,0.004,0.006,0.004,0.002,0.007,0.000,0.000,0.159,0.499,0.239,0.071,0.009,0.002,0.011,0.000,0.000,0.004,0.002,0.004,0.140,0.627,0.201,0.030,0.000,0.000,0.002,0.000,0.200,0.440,0.153,0.091,0.030,0.086
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),110,2214,2287,10.2,10.6,17,17,3.315,0.006,0.101,0.268,0.240,0.192,0.086,0.044,0.033,0.006,0.009,0.012,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.538,0.293,0.050,0.027,0.006,0.003,0.000,0.000,0.000,0.000,0.000,0.121,0.603,0.240,0.030,0.003,0.003,0.000,0.000,0.183,0.549,0.124,0.038,0.038,0.068
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),13,2107,2218,12.7,13.1,22,22,3.471,0.000,0.271,0.189,0.135,0.162,0.135,0.027,0.054,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.162,0.324,0.352,0.108,0.027,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.378,0.487,0.108,0.000,0.000,0.000,0.000,0.216,0.406,0.108,0.162,0.027,0.081
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),19,1928,2067,11.5,12.0,22,22,3.655,0.020,0.274,0.235,0.196,0.059,0.118,0.039,0.000,0.039,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.471,0.333,0.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.392,0.549,0.059,0.000,0.000,0.000,0.000,0.235,0.471,0.137,0.059,0.000,0.098
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),3,1868,2279,10.7,12.2,21,20,3.649,0.000,0.273,0.182,0.091,0.000,0.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.454,0.455,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.545,0.455,0.000,0.000,0.000,0.000,0.000,0.000,0.727,0.000,0.091,0.000,0.182
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),1,1848,3419,6.5,21.7,13,20,20.877,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.500
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),3887,2547,2585,14.2,14.4,18,18,3.072,0.010,0.120,0.236,0.229,0.144,0.083,0.053,0.039,0.030,0.013,0.010,0.008,0.004,0.004,0.004,0.013,0.000,0.002,0.164,0.435,0.226,0.077,0.030,0.018,0.022,0.008,0.003,0.003,0.002,0.010,0.137,0.555,0.234,0.063,0.009,0.001,0.000,0.001,0.289,0.392,0.130,0.101,0.037,0.051
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),04: 3am (3am-4am),130,2026,2026,12.1,12.1,20,20,2.233,0.000,0.190,0.293,0.311,0.103,0.052,0.000,0.000,0.017,0.017,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.172,0.484,0.241,0.052,0.000,0.017,0.017,0.017,0.000,0.000,0.000,0.000,0.052,0.448,0.414,0.086,0.000,0.000,0.000,0.000,0.362,0.586,0.052,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),176,2226,2282,12.4,12.8,19,19,2.329,0.000,0.108,0.295,0.257,0.149,0.041,0.068,0.068,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.498,0.257,0.122,0.027,0.014,0.014,0.000,0.000,0.000,0.000,0.000,0.027,0.595,0.324,0.054,0.000,0.000,0.000,0.000,0.365,0.472,0.122,0.014,0.027,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),06: 5am (5am-6am),90,2903,2861,21.5,21.1,23,23,2.271,0.000,0.081,0.189,0.271,0.081,0.054,0.108,0.081,0.081,0.000,0.027,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.243,0.325,0.108,0.054,0.027,0.108,0.054,0.000,0.000,0.000,0.000,0.027,0.433,0.297,0.189,0.054,0.000,0.000,0.000,0.595,0.243,0.054,0.081,0.000,0.027
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),07: 6am (6am-7am),85,2685,2696,14.6,14.7,19,19,2.493,0.000,0.027,0.135,0.325,0.216,0.108,0.054,0.054,0.054,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.054,0.406,0.351,0.081,0.081,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.514,0.270,0.108,0.000,0.000,0.000,0.000,0.406,0.405,0.135,0.000,0.027,0.027
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),08: 7am (7am-8am),129,3147,3153,24.7,24.5,21,21,2.459,0.000,0.154,0.115,0.251,0.173,0.077,0.038,0.019,0.038,0.077,0.000,0.000,0.000,0.000,0.000,0.058,0.000,0.000,0.135,0.366,0.192,0.154,0.019,0.019,0.038,0.019,0.000,0.000,0.000,0.058,0.058,0.519,0.288,0.058,0.058,0.019,0.000,0.000,0.384,0.385,0.135,0.077,0.019,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),09: 8am (8am-9am),220,2974,3007,21.1,21.0,21,20,2.684,0.012,0.106,0.188,0.188,0.210,0.059,0.059,0.035,0.059,0.012,0.012,0.000,0.012,0.000,0.024,0.024,0.000,0.000,0.094,0.387,0.259,0.071,0.035,0.035,0.059,0.012,0.000,0.024,0.000,0.024,0.094,0.471,0.235,0.176,0.012,0.012,0.000,0.000,0.412,0.388,0.141,0.035,0.000,0.024
