Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),10,0.144,0.111,0.114,0.131,0.146,0.104,0.074,0.087,0.089,0.082,0.224,0.201,0.270,0.223,0.865,0.057,0.006,0.044,0.001,0.007,0.020,0.034,0.434,0.566,0.203,0.351,0.000,0.796,0.204
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),22: 9pm (9pm-10pm),16,0.105,0.120,0.072,0.178,0.113,0.129,0.099,0.099,0.085,0.025,0.153,0.261,0.288,0.273,0.839,0.028,0.000,0.104,0.000,0.023,0.006,0.032,0.330,0.670,0.091,0.276,0.000,0.233,0.767
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),00: All Day (12am-12am),4280,0.131,0.120,0.116,0.175,0.132,0.100,0.064,0.075,0.087,0.084,0.257,0.246,0.242,0.171,0.865,0.043,0.003,0.054,0.000,0.016,0.019,0.055,0.337,0.663,0.135,0.266,0.002,0.171,0.827
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),04: 3am (3am-4am),91,0.137,0.117,0.116,0.170,0.147,0.087,0.064,0.073,0.089,0.066,0.245,0.238,0.261,0.190,0.900,0.017,0.002,0.057,0.000,0.007,0.017,0.027,0.330,0.670,0.120,0.266,0.000,0.268,0.732
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),05: 4am (4am-5am),202,0.123,0.105,0.108,0.153,0.118,0.108,0.060,0.093,0.132,0.063,0.204,0.203,0.282,0.248,0.857,0.041,0.001,0.075,0.000,0.009,0.017,0.045,0.300,0.700,0.111,0.241,0.000,0.293,0.707
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),06: 5am (5am-6am),114,0.126,0.125,0.117,0.166,0.125,0.096,0.062,0.075,0.108,0.077,0.239,0.220,0.265,0.199,0.851,0.054,0.003,0.057,0.002,0.013,0.020,0.050,0.317,0.683,0.139,0.257,0.000,0.356,0.644
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),07: 6am (6am-7am),114,0.114,0.128,0.118,0.161,0.137,0.112,0.062,0.084,0.084,0.073,0.234,0.246,0.271,0.176,0.831,0.060,0.002,0.075,0.000,0.013,0.019,0.044,0.336,0.664,0.141,0.260,0.000,0.275,0.725
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),08: 7am (7am-8am),174,0.124,0.114,0.114,0.166,0.141,0.101,0.076,0.087,0.077,0.074,0.263,0.251,0.243,0.169,0.882,0.048,0.005,0.038,0.000,0.012,0.015,0.043,0.354,0.646,0.140,0.276,0.000,0.255,0.745
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),09: 8am (8am-9am),265,0.121,0.108,0.100,0.170,0.133,0.111,0.069,0.082,0.106,0.074,0.248,0.254,0.242,0.182,0.882,0.031,0.004,0.049,0.001,0.015,0.018,0.055,0.344,0.656,0.136,0.275,0.000,0.348,0.652
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),10: 9am (9am-10am),380,0.132,0.118,0.115,0.163,0.135,0.102,0.065,0.075,0.095,0.085,0.252,0.245,0.243,0.175,0.884,0.041,0.003,0.041,0.001,0.015,0.015,0.047,0.346,0.654,0.136,0.274,0.000,0.203,0.797
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),11: 10am (10am-11am),382,0.128,0.114,0.117,0.177,0.133,0.098,0.075,0.072,0.086,0.101,0.257,0.241,0.238,0.163,0.868,0.044,0.003,0.056,0.000,0.013,0.016,0.053,0.336,0.664,0.139,0.261,0.000,0.167,0.833
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),12: 11am (11am-12noon),355,0.143,0.135,0.133,0.197,0.125,0.099,0.055,0.053,0.060,0.091,0.300,0.245,0.215,0.149,0.888,0.033,0.002,0.036,0.001,0.021,0.019,0.068,0.321,0.679,0.134,0.252,0.000,0.096,0.904
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),365,0.141,0.130,0.119,0.190,0.124,0.092,0.062,0.064,0.078,0.103,0.270,0.242,0.227,0.158,0.829,0.047,0.008,0.068,0.001,0.024,0.023,0.080,0.324,0.676,0.136,0.255,0.000,0.124,0.876
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),356,0.139,0.124,0.116,0.172,0.121,0.101,0.066,0.080,0.081,0.088,0.268,0.248,0.238,0.158,0.870,0.037,0.003,0.059,0.000,0.015,0.016,0.046,0.319,0.681,0.123,0.250,0.014,0.041,0.945
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),366,0.144,0.118,0.110,0.181,0.130,0.090,0.057,0.075,0.095,0.085,0.255,0.251,0.246,0.163,0.869,0.043,0.002,0.050,0.000,0.019,0.017,0.054,0.332,0.668,0.131,0.262,0.000,0.079,0.921
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),297,0.150,0.125,0.119,0.179,0.144,0.099,0.059,0.067,0.058,0.093,0.270,0.255,0.233,0.149,0.859,0.046,0.003,0.051,0.000,0.018,0.023,0.066,0.340,0.660,0.141,0.268,0.007,0.101,0.892
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),301,0.119,0.123,0.122,0.161,0.143,0.103,0.060,0.079,0.090,0.087,0.257,0.259,0.231,0.166,0.866,0.047,0.003,0.056,0.000,0.011,0.017,0.044,0.364,0.636,0.140,0.293,0.000,0.102,0.898
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),175,0.106,0.122,0.113,0.190,0.135,0.108,0.067,0.082,0.077,0.071,0.237,0.252,0.252,0.188,0.852,0.060,0.002,0.045,0.000,0.016,0.025,0.064,0.344,0.656,0.134,0.278,0.000,0.202,0.798
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),151,0.134,0.115,0.108,0.158,0.145,0.107,0.079,0.076,0.078,0.079,0.249,0.266,0.247,0.159,0.857,0.061,0.002,0.049,0.000,0.012,0.019,0.050,0.354,0.646,0.146,0.272,0.000,0.195,0.805
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),166,0.112,0.099,0.106,0.162,0.134,0.096,0.072,0.088,0.131,0.064,0.224,0.237,0.266,0.209,0.837,0.037,0.004,0.079,0.000,0.021,0.022,0.064,0.394,0.606,0.146,0.316,0.000,0.222,0.778
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),7,0.061,0.108,0.241,0.347,0.141,0.042,0.038,0.022,0.000,0.075,0.275,0.345,0.162,0.143,0.906,0.044,0.000,0.020,0.000,0.016,0.014,0.041,0.254,0.746,0.128,0.202,0.000,0.467,0.533
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),12,0.160,0.105,0.135,0.169,0.151,0.105,0.049,0.080,0.046,0.084,0.302,0.251,0.215,0.148,0.888,0.057,0.001,0.021,0.000,0.001,0.032,0.020,0.281,0.719,0.129,0.223,0.000,0.574,0.426
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),23: 10pm (10pm-11pm),7,0.081,0.102,0.100,0.184,0.180,0.115,0.101,0.075,0.062,0.065,0.312,0.286,0.211,0.126,0.726,0.194,0.000,0.055,0.000,0.009,0.016,0.022,0.452,0.548,0.201,0.344,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),00: All Day (12am-12am),3683,0.123,0.118,0.115,0.178,0.134,0.101,0.067,0.075,0.089,0.082,0.252,0.251,0.244,0.171,0.866,0.044,0.003,0.051,0.001,0.017,0.018,0.060,0.342,0.658,0.138,0.269,0.001,0.150,0.849
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),03: 2am (2am-3am),2,0.039,0.071,0.095,0.160,0.171,0.046,0.051,0.189,0.178,0.035,0.253,0.269,0.209,0.234,0.999,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.304,0.696,0.063,0.304,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),04: 3am (3am-4am),92,0.127,0.099,0.119,0.162,0.138,0.099,0.069,0.089,0.098,0.075,0.250,0.257,0.248,0.170,0.880,0.033,0.002,0.055,0.000,0.017,0.013,0.059,0.328,0.672,0.132,0.264,0.000,0.247,0.753
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),05: 4am (4am-5am),133,0.113,0.105,0.109,0.198,0.131,0.111,0.067,0.075,0.091,0.065,0.264,0.255,0.234,0.182,0.886,0.032,0.003,0.047,0.000,0.015,0.017,0.056,0.327,0.673,0.131,0.261,0.000,0.385,0.615
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),06: 5am (5am-6am),121,0.131,0.114,0.126,0.184,0.138,0.093,0.067,0.067,0.080,0.079,0.249,0.253,0.250,0.169,0.809,0.079,0.004,0.059,0.001,0.027,0.021,0.085,0.347,0.653,0.150,0.260,0.000,0.236,0.764
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),07: 6am (6am-7am),95,0.127,0.126,0.124,0.195,0.133,0.104,0.066,0.070,0.055,0.097,0.285,0.267,0.206,0.145,0.887,0.061,0.003,0.019,0.001,0.015,0.014,0.049,0.356,0.644,0.134,0.275,0.000,0.273,0.727
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),08: 7am (7am-8am),122,0.143,0.105,0.117,0.160,0.117,0.097,0.071,0.080,0.110,0.076,0.219,0.247,0.266,0.192,0.872,0.034,0.007,0.055,0.001,0.015,0.016,0.071,0.330,0.670,0.126,0.261,0.000,0.233,0.767
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),09: 8am (8am-9am),195,0.101,0.105,0.107,0.174,0.118,0.098,0.094,0.096,0.107,0.061,0.226,0.238,0.261,0.214,0.871,0.027,0.003,0.061,0.001,0.016,0.021,0.070,0.360,0.640,0.143,0.283,0.000,0.135,0.865
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),10: 9am (9am-10am),344,0.121,0.097,0.114,0.164,0.139,0.095,0.064,0.084,0.122,0.083,0.215,0.249,0.263,0.190,0.862,0.027,0.003,0.068,0.000,0.020,0.020,0.066,0.364,0.636,0.148,0.288,0.000,0.200,0.800
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),11: 10am (10am-11am),250,0.113,0.123,0.118,0.193,0.145,0.102,0.065,0.069,0.072,0.077,0.263,0.257,0.255,0.148,0.888,0.039,0.002,0.039,0.001,0.014,0.017,0.051,0.333,0.667,0.142,0.259,0.000,0.109,0.891
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),12: 11am (11am-12noon),267,0.121,0.143,0.118,0.185,0.139,0.110,0.062,0.060,0.062,0.082,0.276,0.260,0.228,0.154,0.886,0.034,0.002,0.036,0.000,0.021,0.021,0.066,0.349,0.651,0.148,0.270,0.011,0.073,0.916
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),325,0.129,0.124,0.113,0.186,0.129,0.107,0.057,0.071,0.084,0.100,0.242,0.243,0.243,0.172,0.844,0.058,0.002,0.061,0.000,0.019,0.016,0.056,0.325,0.675,0.132,0.258,0.000,0.117,0.883
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),420,0.142,0.129,0.117,0.190,0.123,0.095,0.062,0.068,0.074,0.089,0.276,0.261,0.217,0.157,0.884,0.037,0.003,0.044,0.002,0.014,0.016,0.066,0.324,0.676,0.134,0.252,0.000,0.052,0.948
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),284,0.133,0.132,0.117,0.167,0.131,0.092,0.069,0.070,0.089,0.094,0.272,0.246,0.233,0.155,0.842,0.071,0.006,0.050,0.000,0.014,0.017,0.048,0.317,0.683,0.125,0.252,0.000,0.086,0.914
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),251,0.112,0.117,0.119,0.179,0.144,0.095,0.074,0.074,0.086,0.076,0.263,0.254,0.234,0.173,0.896,0.032,0.002,0.037,0.001,0.013,0.019,0.045,0.386,0.614,0.148,0.312,0.000,0.086,0.914
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),187,0.111,0.100,0.111,0.161,0.156,0.107,0.067,0.085,0.102,0.067,0.232,0.251,0.259,0.191,0.849,0.036,0.002,0.075,0.000,0.018,0.020,0.061,0.361,0.639,0.138,0.293,0.000,0.107,0.893
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),254,0.099,0.117,0.104,0.177,0.134,0.118,0.075,0.077,0.099,0.071,0.239,0.251,0.257,0.182,0.833,0.062,0.003,0.059,0.001,0.021,0.021,0.066,0.337,0.663,0.132,0.263,0.000,0.203,0.797
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),188,0.125,0.123,0.119,0.165,0.137,0.098,0.056,0.079,0.098,0.101,0.265,0.239,0.241,0.154,0.837,0.070,0.003,0.043,0.000,0.026,0.021,0.064,0.362,0.638,0.152,0.279,0.000,0.175,0.825
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),113,0.143,0.120,0.109,0.180,0.139,0.091,0.069,0.070,0.079,0.071,0.248,0.254,0.271,0.156,0.878,0.037,0.002,0.053,0.000,0.015,0.015,0.050,0.318,0.682,0.125,0.254,0.000,0.283,0.717
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),16,0.113,0.117,0.172,0.167,0.158,0.102,0.075,0.056,0.040,0.046,0.217,0.245,0.314,0.178,0.915,0.023,0.001,0.027,0.004,0.008,0.022,0.025,0.285,0.715,0.113,0.207,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),22: 9pm (9pm-10pm),23,0.159,0.137,0.130,0.171,0.090,0.093,0.043,0.091,0.086,0.109,0.302,0.203,0.219,0.167,0.922,0.019,0.001,0.013,0.000,0.014,0.031,0.028,0.266,0.734,0.135,0.192,0.000,0.105,0.895
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),23: 10pm (10pm-11pm),2,0.193,0.091,0.135,0.246,0.152,0.104,0.048,0.009,0.022,0.100,0.396,0.313,0.153,0.038,0.924,0.000,0.000,0.007,0.000,0.066,0.003,0.089,0.634,0.366,0.242,0.595,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),00: All Day (12am-12am),3799,0.122,0.116,0.114,0.177,0.137,0.100,0.066,0.076,0.092,0.081,0.240,0.251,0.249,0.179,0.865,0.037,0.003,0.059,0.000,0.017,0.019,0.057,0.346,0.654,0.136,0.275,0.000,0.145,0.855
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),04: 3am (3am-4am),72,0.128,0.115,0.123,0.190,0.149,0.097,0.046,0.058,0.094,0.064,0.238,0.244,0.245,0.209,0.902,0.034,0.002,0.037,0.000,0.011,0.014,0.046,0.313,0.687,0.123,0.253,0.000,0.153,0.847
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),05: 4am (4am-5am),138,0.103,0.120,0.121,0.187,0.172,0.092,0.064,0.069,0.072,0.087,0.286,0.248,0.231,0.148,0.877,0.040,0.002,0.039,0.000,0.021,0.021,0.058,0.341,0.659,0.149,0.270,0.000,0.438,0.562
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),06: 5am (5am-6am),101,0.136,0.128,0.125,0.181,0.136,0.108,0.064,0.067,0.055,0.088,0.268,0.264,0.230,0.150,0.889,0.023,0.003,0.051,0.000,0.015,0.019,0.069,0.299,0.701,0.112,0.234,0.000,0.214,0.786
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),07: 6am (6am-7am),86,0.138,0.098,0.110,0.166,0.135,0.086,0.063,0.099,0.105,0.078,0.231,0.243,0.256,0.192,0.824,0.047,0.004,0.083,0.001,0.020,0.021,0.067,0.328,0.672,0.119,0.271,0.000,0.311,0.689
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),08: 7am (7am-8am),120,0.120,0.124,0.133,0.170,0.128,0.098,0.075,0.077,0.075,0.090,0.216,0.240,0.270,0.184,0.840,0.034,0.002,0.085,0.000,0.018,0.021,0.064,0.313,0.687,0.128,0.236,0.000,0.194,0.806
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),09: 8am (8am-9am),243,0.099,0.110,0.113,0.179,0.135,0.106,0.074,0.082,0.102,0.066,0.239,0.253,0.244,0.198,0.890,0.037,0.002,0.036,0.000,0.016,0.019,0.050,0.382,0.618,0.159,0.297,0.000,0.185,0.815
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),10: 9am (9am-10am),351,0.115,0.129,0.112,0.178,0.138,0.102,0.062,0.068,0.096,0.070,0.232,0.269,0.253,0.176,0.882,0.036,0.002,0.045,0.000,0.017,0.018,0.054,0.353,0.647,0.146,0.285,0.000,0.214,0.786
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),11: 10am (10am-11am),356,0.134,0.123,0.117,0.178,0.124,0.095,0.062,0.068,0.099,0.088,0.234,0.256,0.241,0.181,0.874,0.030,0.002,0.062,0.001,0.012,0.019,0.043,0.324,0.676,0.124,0.258,0.000,0.166,0.834
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),12: 11am (11am-12noon),331,0.118,0.117,0.115,0.189,0.138,0.098,0.064,0.073,0.088,0.077,0.238,0.239,0.267,0.179,0.867,0.040,0.004,0.056,0.000,0.015,0.018,0.058,0.366,0.634,0.143,0.293,0.000,0.098,0.902
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),13: 12pm (12noon-1pm),281,0.116,0.106,0.118,0.165,0.139,0.100,0.071,0.080,0.105,0.091,0.235,0.220,0.256,0.198,0.866,0.025,0.007,0.061,0.000,0.018,0.023,0.055,0.357,0.643,0.132,0.288,0.000,0.087,0.913
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),14: 1pm (1pm-2pm),364,0.127,0.112,0.110,0.181,0.139,0.099,0.066,0.083,0.083,0.091,0.250,0.253,0.240,0.166,0.852,0.039,0.003,0.071,0.000,0.019,0.016,0.053,0.356,0.644,0.143,0.281,0.000,0.054,0.946
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),15: 2pm (2pm-3pm),317,0.133,0.122,0.108,0.182,0.140,0.094,0.062,0.072,0.087,0.087,0.249,0.259,0.238,0.167,0.862,0.041,0.003,0.058,0.000,0.019,0.017,0.067,0.324,0.676,0.121,0.259,0.000,0.068,0.932
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),16: 3pm (3pm-4pm),236,0.110,0.105,0.127,0.169,0.145,0.101,0.070,0.072,0.101,0.075,0.245,0.262,0.252,0.166,0.880,0.029,0.003,0.049,0.001,0.022,0.016,0.061,0.343,0.657,0.135,0.274,0.000,0.109,0.891
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),17: 4pm (4pm-5pm),212,0.125,0.127,0.106,0.150,0.123,0.099,0.061,0.091,0.118,0.068,0.232,0.253,0.264,0.183,0.870,0.039,0.002,0.058,0.000,0.012,0.019,0.036,0.379,0.621,0.146,0.299,0.000,0.070,0.930
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),18: 5pm (5pm-6pm),240,0.131,0.120,0.121,0.181,0.128,0.100,0.060,0.076,0.083,0.091,0.238,0.254,0.237,0.180,0.816,0.053,0.006,0.079,0.001,0.022,0.023,0.073,0.341,0.659,0.127,0.272,0.000,0.067,0.933
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),19: 6pm (6pm-7pm),195,0.135,0.102,0.099,0.177,0.127,0.106,0.079,0.083,0.092,0.081,0.232,0.238,0.261,0.188,0.831,0.038,0.004,0.088,0.000,0.015,0.024,0.059,0.342,0.658,0.139,0.272,0.000,0.110,0.890
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),20: 7pm (7pm-8pm),106,0.122,0.114,0.115,0.183,0.136,0.118,0.074,0.066,0.072,0.085,0.255,0.273,0.225,0.162,0.856,0.051,0.003,0.037,0.000,0.031,0.022,0.087,0.337,0.663,0.144,0.256,0.000,0.349,0.651
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),21: 8pm (8pm-9pm),16,0.084,0.094,0.087,0.172,0.208,0.100,0.097,0.080,0.078,0.050,0.180,0.233,0.294,0.243,0.908,0.058,0.002,0.012,0.000,0.004,0.016,0.015,0.288,0.712,0.102,0.229,0.000,0.310,0.690
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),22: 9pm (9pm-10pm),25,0.119,0.056,0.080,0.153,0.137,0.105,0.087,0.136,0.127,0.069,0.260,0.225,0.245,0.201,0.882,0.033,0.001,0.055,0.000,0.015,0.014,0.069,0.401,0.599,0.177,0.300,0.000,0.135,0.865
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),23: 10pm (10pm-11pm),6,0.127,0.156,0.116,0.232,0.130,0.074,0.056,0.073,0.036,0.039,0.211,0.165,0.315,0.270,0.814,0.033,0.000,0.118,0.000,0.020,0.015,0.033,0.236,0.764,0.090,0.176,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),24: 11pm (11pm-12am),2,0.156,0.171,0.166,0.141,0.201,0.102,0.063,0.000,0.000,0.000,0.108,0.395,0.358,0.139,0.983,0.017,0.000,0.000,0.000,0.000,0.000,0.100,0.244,0.756,0.006,0.238,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),3819,0.127,0.118,0.112,0.172,0.136,0.104,0.067,0.078,0.086,0.082,0.252,0.250,0.242,0.174,0.850,0.047,0.003,0.064,0.000,0.018,0.018,0.059,0.345,0.655,0.135,0.273,0.001,0.142,0.857
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),04: 3am (3am-4am),61,0.144,0.120,0.116,0.157,0.135,0.112,0.067,0.072,0.077,0.094,0.249,0.273,0.229,0.155,0.841,0.041,0.001,0.083,0.000,0.014,0.020,0.059,0.350,0.650,0.136,0.261,0.000,0.220,0.780
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),146,0.095,0.085,0.100,0.164,0.128,0.099,0.085,0.107,0.137,0.077,0.210,0.240,0.263,0.210,0.834,0.043,0.002,0.086,0.001,0.017,0.017,0.066,0.362,0.638,0.124,0.298,0.019,0.303,0.678
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),139,0.094,0.117,0.095,0.175,0.146,0.105,0.076,0.103,0.089,0.067,0.212,0.245,0.281,0.195,0.856,0.044,0.003,0.064,0.000,0.017,0.016,0.065,0.326,0.674,0.138,0.258,0.000,0.331,0.669
