Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),16: 3pm (3pm-4pm),273,0.127,0.119,0.117,0.175,0.140,0.100,0.064,0.072,0.086,0.083,0.258,0.253,0.236,0.170,0.869,0.039,0.004,0.052,0.000,0.018,0.018,0.056,0.354,0.646,0.139,0.282,0.003,0.089,0.908
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),17: 4pm (4pm-5pm),233,0.113,0.117,0.111,0.166,0.140,0.106,0.065,0.080,0.102,0.076,0.245,0.250,0.249,0.180,0.855,0.046,0.003,0.061,0.000,0.016,0.019,0.052,0.358,0.642,0.140,0.285,0.000,0.102,0.898
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),18: 5pm (5pm-6pm),214,0.130,0.122,0.115,0.176,0.128,0.103,0.064,0.074,0.088,0.084,0.238,0.245,0.251,0.182,0.820,0.056,0.003,0.074,0.001,0.024,0.022,0.075,0.332,0.668,0.131,0.263,0.002,0.163,0.835
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),19: 6pm (6pm-7pm),180,0.130,0.108,0.108,0.170,0.137,0.101,0.073,0.077,0.096,0.084,0.247,0.247,0.245,0.177,0.857,0.043,0.002,0.062,0.000,0.016,0.020,0.053,0.353,0.647,0.142,0.277,0.000,0.160,0.840
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),20: 7pm (7pm-8pm),110,0.120,0.114,0.114,0.165,0.134,0.105,0.068,0.084,0.096,0.078,0.249,0.243,0.250,0.180,0.846,0.043,0.003,0.069,0.000,0.021,0.018,0.059,0.364,0.636,0.144,0.289,0.000,0.219,0.781
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),13,0.123,0.141,0.131,0.174,0.141,0.094,0.063,0.061,0.072,0.076,0.261,0.238,0.251,0.174,0.904,0.036,0.001,0.032,0.001,0.009,0.017,0.039,0.306,0.694,0.115,0.246,0.000,0.240,0.760
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),19,0.124,0.104,0.110,0.178,0.124,0.089,0.069,0.097,0.105,0.079,0.244,0.227,0.242,0.208,0.869,0.033,0.001,0.058,0.000,0.022,0.017,0.050,0.347,0.653,0.150,0.249,0.000,0.278,0.722
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),3,0.093,0.105,0.111,0.183,0.143,0.101,0.077,0.092,0.095,0.072,0.256,0.226,0.265,0.181,0.807,0.086,0.000,0.075,0.000,0.016,0.016,0.036,0.401,0.599,0.163,0.322,0.000,0.332,0.668
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),1,0.446,0.202,0.086,0.068,0.107,0.066,0.025,0.000,0.000,0.036,0.140,0.230,0.376,0.218,0.857,0.028,0.001,0.061,0.000,0.028,0.025,0.108,0.150,0.850,0.054,0.135,N/A,N/A,N/A
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),3887,0.126,0.118,0.111,0.172,0.135,0.102,0.068,0.078,0.090,0.083,0.254,0.247,0.242,0.174,0.857,0.037,0.003,0.066,0.000,0.018,0.019,0.057,0.349,0.651,0.140,0.275,0.000,0.201,0.799
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),04: 3am (3am-4am),130,0.158,0.123,0.103,0.175,0.122,0.090,0.077,0.084,0.068,0.093,0.249,0.238,0.246,0.174,0.825,0.059,0.002,0.059,0.001,0.030,0.024,0.077,0.349,0.651,0.153,0.266,0.000,0.378,0.622
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),176,0.140,0.124,0.127,0.154,0.134,0.097,0.066,0.075,0.083,0.084,0.249,0.246,0.239,0.182,0.867,0.041,0.004,0.056,0.000,0.014,0.018,0.050,0.343,0.657,0.142,0.271,0.000,0.378,0.622
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),06: 5am (5am-6am),90,0.124,0.124,0.120,0.166,0.150,0.109,0.072,0.077,0.058,0.077,0.294,0.274,0.226,0.129,0.873,0.023,0.003,0.067,0.001,0.013,0.020,0.042,0.347,0.653,0.129,0.280,0.000,0.646,0.354
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),07: 6am (6am-7am),85,0.106,0.074,0.116,0.181,0.146,0.101,0.079,0.096,0.101,0.062,0.215,0.239,0.282,0.202,0.874,0.035,0.002,0.058,0.000,0.012,0.019,0.043,0.438,0.562,0.156,0.370,0.000,0.343,0.657
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),08: 7am (7am-8am),129,0.116,0.164,0.086,0.169,0.151,0.098,0.070,0.073,0.073,0.112,0.256,0.260,0.226,0.146,0.764,0.035,0.002,0.165,0.000,0.016,0.018,0.052,0.334,0.666,0.144,0.262,0.000,0.370,0.630
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),09: 8am (8am-9am),220,0.111,0.114,0.108,0.168,0.135,0.093,0.063,0.094,0.114,0.081,0.235,0.246,0.252,0.186,0.808,0.037,0.004,0.103,0.001,0.024,0.023,0.074,0.355,0.645,0.127,0.286,0.000,0.346,0.654
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),10: 9am (9am-10am),365,0.102,0.099,0.107,0.172,0.131,0.110,0.070,0.092,0.117,0.064,0.233,0.229,0.257,0.217,0.869,0.028,0.002,0.062,0.001,0.017,0.021,0.058,0.359,0.641,0.132,0.287,0.000,0.289,0.711
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),11: 10am (10am-11am),309,0.121,0.114,0.107,0.160,0.144,0.101,0.067,0.082,0.104,0.073,0.237,0.241,0.255,0.194,0.887,0.029,0.002,0.056,0.000,0.011,0.015,0.045,0.352,0.648,0.146,0.272,0.000,0.218,0.782
