Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),425,2487,2612,12.8,13.4,17,17,3.657,0.037,0.159,0.202,0.185,0.134,0.098,0.058,0.034,0.018,0.019,0.014,0.011,0.007,0.002,0.002,0.020,0.023,0.034,0.150,0.411,0.226,0.085,0.022,0.010,0.014,0.007,0.004,0.002,0.001,0.011,0.170,0.533,0.243,0.042,0.010,0.002,0.000,0.000,0.150,0.396,0.183,0.141,0.057,0.073
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),134,2382,2536,11.9,12.5,17,17,4.035,0.002,0.129,0.257,0.219,0.139,0.092,0.032,0.039,0.044,0.023,0.009,0.002,0.002,0.002,0.000,0.009,0.009,0.023,0.085,0.478,0.268,0.085,0.023,0.012,0.007,0.005,0.000,0.000,0.000,0.005,0.143,0.568,0.238,0.046,0.005,0.000,0.000,0.000,0.136,0.550,0.125,0.060,0.032,0.097
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3129,2999,3076,18.9,19.0,18,18,3.260,0.020,0.128,0.209,0.169,0.130,0.086,0.057,0.045,0.033,0.025,0.020,0.015,0.011,0.010,0.004,0.038,0.028,0.027,0.102,0.383,0.226,0.095,0.028,0.017,0.034,0.019,0.009,0.004,0.002,0.026,0.158,0.487,0.240,0.087,0.021,0.007,0.000,0.000,0.269,0.406,0.135,0.091,0.044,0.055
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),441,2592,2596,18.6,18.5,21,21,2.505,0.017,0.119,0.316,0.212,0.131,0.062,0.038,0.010,0.019,0.010,0.017,0.005,0.010,0.010,0.005,0.019,0.021,0.014,0.031,0.500,0.246,0.069,0.026,0.019,0.026,0.007,0.012,0.000,0.005,0.024,0.081,0.485,0.248,0.143,0.031,0.012,0.000,0.000,0.346,0.534,0.069,0.024,0.010,0.017
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),397,3127,3204,21.5,21.6,19,19,3.089,0.019,0.126,0.218,0.145,0.137,0.065,0.073,0.073,0.019,0.034,0.019,0.019,0.015,0.004,0.000,0.034,0.034,0.042,0.061,0.445,0.172,0.088,0.031,0.023,0.046,0.015,0.004,0.008,0.000,0.031,0.225,0.424,0.210,0.080,0.046,0.015,0.000,0.000,0.290,0.473,0.145,0.050,0.011,0.031
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1443,3177,3253,20.0,20.1,18,18,3.244,0.021,0.129,0.182,0.152,0.125,0.105,0.063,0.043,0.036,0.026,0.025,0.020,0.010,0.012,0.005,0.046,0.037,0.028,0.119,0.325,0.235,0.105,0.025,0.020,0.036,0.020,0.009,0.006,0.003,0.032,0.176,0.469,0.243,0.087,0.018,0.007,0.000,0.000,0.296,0.335,0.148,0.110,0.044,0.067
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),628,3003,3112,17.9,18.1,18,18,3.593,0.025,0.132,0.179,0.168,0.140,0.080,0.066,0.051,0.038,0.023,0.018,0.014,0.012,0.007,0.003,0.044,0.019,0.025,0.137,0.353,0.236,0.096,0.033,0.014,0.032,0.023,0.007,0.001,0.001,0.023,0.151,0.518,0.239,0.070,0.018,0.003,0.001,0.000,0.209,0.391,0.136,0.130,0.071,0.063
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 1,yes,86,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),221,2770,2825,14.2,14.5,16,17,3.809,0.012,0.127,0.230,0.203,0.116,0.080,0.020,0.068,0.044,0.036,0.004,0.012,0.012,0.012,0.000,0.024,0.016,0.040,0.084,0.481,0.179,0.100,0.028,0.004,0.028,0.024,0.012,0.000,0.000,0.004,0.151,0.550,0.247,0.048,0.004,0.000,0.000,0.000,0.167,0.494,0.175,0.044,0.052,0.068
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),0: All Day (12am-12am),2467,2785,2862,16.0,16.2,17,17,3.246,0.021,0.133,0.213,0.188,0.133,0.086,0.055,0.042,0.030,0.022,0.017,0.011,0.011,0.006,0.004,0.028,0.031,0.033,0.113,0.404,0.225,0.084,0.027,0.016,0.023,0.013,0.006,0.003,0.003,0.019,0.180,0.502,0.229,0.069,0.016,0.004,0.000,0.000,0.252,0.411,0.145,0.095,0.043,0.054
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,0: All Days (M-Su),1: Early AM (12am-6am),222,2351,2369,15.3,15.4,20,20,2.503,0.012,0.129,0.309,0.230,0.146,0.057,0.035,0.016,0.017,0.011,0.009,0.003,0.007,0.004,0.002,0.013,0.021,0.013,0.039,0.513,0.250,0.062,0.030,0.019,0.018,0.011,0.006,0.002,0.001,0.015,0.095,0.484,0.266,0.124,0.023,0.007,0.001,0.000,0.348,0.531,0.074,0.018,0.013,0.016
