Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),147,2506,2630,12.3,12.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2879,3038,3106,18.7,18.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),292,2569,2574,17.7,17.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),258,3135,3200,20.8,20.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1468,3217,3281,19.9,20.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),688,3060,3157,18.0,18.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570322 / 2,yes,117,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),173,2885,2930,15.0,15.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),0: All Day (12am-12am),2422,2784,2863,16.0,16.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),1: Early AM (12am-6am),216,2374,2387,15.6,15.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),2: Peak AM (6am-10am),254,2943,3026,17.8,18.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),1270,2986,3046,17.3,17.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),527,2701,2822,14.4,14.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,0: All Days (M-Su),5: Late PM (7pm-12am),155,2649,2745,13.7,14.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,1: Weekday (M-Th),0: All Day (12am-12am),2233,2639,2721,14.2,14.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,1: Weekday (M-Th),1: Early AM (12am-6am),183,2233,2257,13.9,14.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),273,2715,2826,14.8,15.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1203,2884,2930,15.7,15.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),429,2504,2636,12.5,13.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),145,2507,2631,12.3,12.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2837,3044,3114,18.8,18.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),287,2650,2651,19.0,18.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),253,3171,3237,20.9,20.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1443,3207,3272,19.8,19.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),680,3050,3154,17.9,18.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 1,yes,122,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),175,2859,2904,14.7,14.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,0: All Days (M-Su),0: All Day (12am-12am),1507,2844,2914,15.2,15.4
