,Day Type,Day Part,Avg Trip Time (min),Month,Year,Month.1,Day,Time,Check_Flag,Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust
27,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),4.166666667,May,19.0,5.0,2.0,12.0,195212,48.987500000000004,45.735,45.98,51.815000000000005,1012.5,63.75,0.86,13.0,18.2525
28,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),42.73333333,May,19.0,5.0,2.0,13.0,195213,51.065000000000005,47.5125,47.67999999999999,53.75,1012.25,57.0,0.93,9.7525,15.25
29,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),4.633333333,May,19.0,5.0,2.0,15.0,195215,48.833999999999996,44.477999999999994,45.571999999999996,52.85600000000001,1011.8,61.2,0.5,12.398,18.206000000000003
30,3: Wednesday (W-W),00: All Day (12am-12am),17.53333333,May,19.0,5.0,3.0,-1.0,1953-1,45.25669231,41.26953846,42.59138462,48.17230769,1015.669231,68.17692308,16.92,8.352307692,13.45736842
31,3: Wednesday (W-W),10: 9am (9am-10am),7.883333333,May,19.0,5.0,3.0,9.0,19539,39.724999999999994,34.195,37.391666666666666,42.089999999999996,1015.0,78.16666666666667,1.34,8.666666666666666,12.166666666666664
32,3: Wednesday (W-W),11: 10am (10am-11am),22.35,May,19.0,5.0,3.0,10.0,195310,38.854,33.038,36.102,41.468,1016.6,76.4,0.25,8.604000000000001,12.203999999999999
33,3: Wednesday (W-W),12: 11am (11am-12noon),53.2,May,19.0,5.0,3.0,11.0,195311,40.87166666666667,35.175000000000004,39.11333333333334,43.30833333333334,1016.0,76.0,0.24,9.493333333333334,13.326666666666666
34,3: Wednesday (W-W),13: 12pm (12noon-1pm),8.833333333,May,19.0,5.0,3.0,12.0,195312,42.09400000000001,37.112,40.233999999999995,44.848,1017.2,68.8,0.2,8.802,12.605999999999998
35,3: Wednesday (W-W),17: 4pm (4pm-5pm),19.55,May,19.0,5.0,3.0,16.0,195316,48.956,46.608000000000004,46.274,52.67999999999999,1017.2,57.4,0.13,6.5200000000000005,13.33
36,3: Wednesday (W-W),18: 5pm (5pm-6pm),8.0,May,19.0,5.0,3.0,17.0,195317,50.612,48.358,47.419999999999995,54.7,1016.6,54.6,0.2,5.798,14.666666666666666
37,3: Wednesday (W-W),19: 6pm (6pm-7pm),18.51666667,May,19.0,5.0,3.0,18.0,195318,52.226,48.774,48.40599999999999,56.1,1016.6,52.0,0.19,8.8,15.997499999999999
38,4: Thursday (Th-Th),00: All Day (12am-12am),19.11666667,May,19.0,5.0,4.0,-1.0,1954-1,46.46289256,43.9661157,43.00561983,50.23256198,1018.033058,68.87603306,5.07,5.059917355,8.371018519
39,4: Thursday (Th-Th),05: 4am (4am-5am),26.88333333,May,19.0,5.0,4.0,4.0,19544,42.458000000000006,39.644,39.9,45.501999999999995,1018.6,75.6,0.51,4.598000000000001,7.745000000000001
40,4: Thursday (Th-Th),10: 9am (9am-10am),28.18333333,May,19.0,5.0,4.0,9.0,19549,39.678000000000004,35.092,36.556,42.827999999999996,1018.4,79.4,0.51,6.601999999999999,8.806
41,4: Thursday (Th-Th),11: 10am (10am-11am),19.23333333,May,19.0,5.0,4.0,10.0,195410,39.505,35.72666666666667,36.635,42.275,1019.5,83.0,0.5,5.2749999999999995,7.398000000000001
42,4: Thursday (Th-Th),12: 11am (11am-12noon),13.41666667,May,19.0,5.0,4.0,11.0,195411,41.896,38.934000000000005,39.64,44.36,1019.4,77.2,0.0,5.002,7.601999999999999
43,4: Thursday (Th-Th),13: 12pm (12noon-1pm),24.05,May,19.0,5.0,4.0,12.0,195412,44.062,41.672000000000004,42.044,47.028000000000006,1018.8,74.6,0.0,3.998,7.75
44,4: Thursday (Th-Th),15: 2pm (2pm-3pm),52.91666667,May,19.0,5.0,4.0,14.0,195414,49.216,46.872,46.39,52.672000000000004,1018.8,64.2,0.0,5.2,7.996
45,4: Thursday (Th-Th),16: 3pm (3pm-4pm),16.25,May,19.0,5.0,4.0,15.0,195415,50.812,48.108,47.364,55.2,1018.6,60.2,0.25,5.198,7.998
46,4: Thursday (Th-Th),17: 4pm (4pm-5pm),6.366666667,May,19.0,5.0,4.0,16.0,195416,52.50599999999999,50.774,48.528000000000006,57.16799999999999,1018.2,59.8,0.0,6.004,9.005999999999998
47,4: Thursday (Th-Th),18: 5pm (5pm-6pm),19.1,May,19.0,5.0,4.0,17.0,195417,53.924,52.19200000000001,49.5,59.510000000000005,1017.8,56.8,0.0,6.9940000000000015,11.599999999999998
48,4: Thursday (Th-Th),20: 7pm (7pm-8pm),16.46666667,May,19.0,5.0,4.0,19.0,195419,53.758,51.996,47.948,59.69599999999999,1017.0,56.8,0.0,4.799999999999999,7.8
49,4: Thursday (Th-Th),06: 5am (5am-6am),34.13333333,May,19.0,5.0,4.0,5.0,19545,41.693999999999996,39.748000000000005,38.422,44.146,1018.4,76.2,0.51,3.4,6.504999999999999
50,6: Saturday (Sa-Sa),00: All Day (12am-12am),19.56666667,May,19.0,5.0,6.0,-1.0,1956-1,49.17861111,47.45935185,46.2225,52.58064815,1013.435185,77.86111111,20.04,6.158055556,10.24322581
51,6: Saturday (Sa-Sa),05: 4am (4am-5am),12.11666667,May,19.0,5.0,6.0,4.0,19564,43.428333333333335,43.09833333333333,41.44833333333334,46.01500000000001,1011.8333333333334,89.66666666666667,1.38,1.6633333333333333,3.5
52,6: Saturday (Sa-Sa),10: 9am (9am-10am),53.16666667,May,19.0,5.0,6.0,9.0,19569,43.532,41.174,40.812,46.534000000000006,1011.8,90.0,0.5,5.197999999999999,6.593999999999999
53,6: Saturday (Sa-Sa),11: 10am (10am-11am),11.5,May,19.0,5.0,6.0,10.0,195610,44.5275,40.595,41.417500000000004,47.480000000000004,1012.0,88.5,0.0,8.254999999999999,16.0
