Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),123,0.153,0.135,0.142,0.189,0.130,0.085,0.051,0.049,0.066,0.097,0.292,0.275,0.205,0.131,0.885,0.047,0.003,0.024,0.000,0.026,0.015,0.066,0.312,0.688,0.131,0.239,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),96,0.156,0.158,0.130,0.173,0.108,0.091,0.057,0.043,0.084,0.077,0.291,0.266,0.194,0.172,0.894,0.022,0.003,0.055,0.000,0.010,0.016,0.043,0.302,0.698,0.108,0.237,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),84,0.124,0.138,0.125,0.215,0.140,0.106,0.054,0.054,0.044,0.092,0.313,0.276,0.199,0.120,0.885,0.031,0.003,0.045,0.002,0.014,0.020,0.051,0.309,0.691,0.123,0.242,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),78,0.133,0.117,0.118,0.171,0.145,0.090,0.061,0.067,0.098,0.070,0.249,0.258,0.231,0.192,0.869,0.014,0.003,0.087,0.000,0.011,0.016,0.057,0.309,0.691,0.139,0.225,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),46,0.144,0.143,0.153,0.162,0.132,0.085,0.044,0.076,0.061,0.090,0.322,0.268,0.195,0.125,0.863,0.040,0.005,0.052,0.000,0.017,0.023,0.062,0.329,0.671,0.143,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),41,0.164,0.134,0.137,0.181,0.143,0.083,0.064,0.057,0.037,0.148,0.325,0.250,0.170,0.107,0.771,0.062,0.007,0.072,0.001,0.055,0.032,0.122,0.338,0.662,0.141,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),10,0.194,0.105,0.131,0.184,0.131,0.057,0.074,0.064,0.060,0.140,0.339,0.243,0.178,0.100,0.727,0.068,0.008,0.082,0.000,0.070,0.045,0.115,0.347,0.653,0.107,0.294,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),10,0.128,0.121,0.111,0.165,0.145,0.166,0.076,0.056,0.032,0.098,0.217,0.289,0.199,0.197,0.878,0.021,0.003,0.067,0.000,0.012,0.019,0.037,0.313,0.687,0.179,0.213,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),4,0.057,0.129,0.075,0.156,0.113,0.106,0.131,0.105,0.128,0.063,0.219,0.238,0.247,0.233,0.881,0.029,0.009,0.068,0.000,0.004,0.009,0.017,0.368,0.632,0.095,0.324,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),24: 11pm (11pm-12am),4,0.101,0.097,0.072,0.155,0.128,0.154,0.087,0.108,0.098,0.075,0.216,0.177,0.209,0.323,0.830,0.018,0.009,0.072,0.000,0.044,0.027,0.058,0.303,0.697,0.111,0.233,0.000,0.000,1.000
