Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),35,0.035,0.096,0.120,0.192,0.166,0.157,0.016,0.109,0.109,0.126,0.247,0.217,0.220,0.190,0.711,0.004,0.030,0.231,0.000,0.001,0.023,0.015,0.322,0.678,0.143,0.204,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),65,0.098,0.124,0.105,0.154,0.130,0.092,0.041,0.150,0.106,0.109,0.309,0.262,0.196,0.124,0.839,0.017,0.004,0.097,0.000,0.020,0.023,0.055,0.414,0.586,0.168,0.316,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),15,0.073,0.120,0.080,0.276,0.149,0.130,0.048,0.067,0.057,0.132,0.287,0.293,0.199,0.089,0.946,0.003,0.000,0.043,0.000,0.000,0.008,0.035,0.368,0.632,0.084,0.332,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),23: 10pm (10pm-11pm),11,0.063,0.105,0.059,0.105,0.087,0.082,0.150,0.127,0.222,0.026,0.135,0.199,0.307,0.333,0.862,0.037,0.000,0.099,0.000,0.000,0.002,0.001,0.463,0.537,0.092,0.436,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),00: All Day (12am-12am),788,0.141,0.120,0.120,0.165,0.138,0.090,0.064,0.064,0.098,0.098,0.269,0.259,0.209,0.165,0.825,0.055,0.006,0.055,0.000,0.032,0.027,0.092,0.350,0.650,0.152,0.270,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),04: 3am (3am-4am),11,0.153,0.205,0.054,0.191,0.050,0.125,0.048,0.041,0.133,0.044,0.279,0.150,0.216,0.311,0.877,0.034,0.000,0.043,0.000,0.022,0.024,0.048,0.142,0.858,0.044,0.123,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),05: 4am (4am-5am),37,0.064,0.122,0.103,0.139,0.183,0.084,0.077,0.126,0.102,0.079,0.251,0.252,0.197,0.221,0.577,0.172,0.001,0.184,0.000,0.038,0.028,0.137,0.376,0.624,0.141,0.303,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),06: 5am (5am-6am),11,0.153,0.151,0.233,0.203,0.169,0.033,0.026,0.003,0.029,0.115,0.328,0.295,0.165,0.097,0.881,0.090,0.002,0.000,0.000,0.009,0.018,0.013,0.436,0.564,0.173,0.351,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),07: 6am (6am-7am),40,0.168,0.157,0.117,0.091,0.120,0.103,0.055,0.118,0.071,0.134,0.250,0.227,0.218,0.171,0.697,0.154,0.001,0.080,0.000,0.050,0.018,0.129,0.437,0.563,0.129,0.376,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),10: 9am (9am-10am),15,0.200,0.182,0.209,0.199,0.074,0.106,0.012,0.014,0.004,0.127,0.339,0.238,0.234,0.062,0.987,0.002,0.003,0.000,0.000,0.006,0.002,0.008,0.191,0.809,0.089,0.184,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),11: 10am (10am-11am),26,0.083,0.070,0.100,0.188,0.106,0.146,0.079,0.071,0.157,0.070,0.181,0.195,0.296,0.258,0.776,0.061,0.009,0.070,0.000,0.053,0.031,0.128,0.301,0.699,0.147,0.203,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),12: 11am (11am-12noon),53,0.180,0.171,0.115,0.198,0.185,0.071,0.036,0.026,0.018,0.105,0.356,0.328,0.133,0.078,0.976,0.009,0.002,0.002,0.000,0.001,0.010,0.011,0.369,0.631,0.190,0.265,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),101,0.070,0.113,0.067,0.153,0.116,0.100,0.046,0.075,0.260,0.034,0.215,0.215,0.290,0.246,0.959,0.005,0.001,0.023,0.000,0.002,0.010,0.048,0.406,0.594,0.162,0.337,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),93,0.127,0.110,0.096,0.181,0.124,0.091,0.089,0.061,0.121,0.081,0.241,0.247,0.250,0.181,0.917,0.051,0.007,0.008,0.001,0.002,0.014,0.028,0.264,0.736,0.107,0.207,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),48,0.132,0.160,0.119,0.172,0.123,0.093,0.059,0.061,0.081,0.083,0.292,0.280,0.220,0.125,0.966,0.001,0.000,0.013,0.000,0.013,0.007,0.020,0.402,0.598,0.193,0.271,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),70,0.162,0.133,0.156,0.165,0.134,0.093,0.069,0.067,0.021,0.125,0.309,0.329,0.128,0.109,0.902,0.075,0.003,0.008,0.000,0.006,0.006,0.030,0.282,0.718,0.076,0.240,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),47,0.118,0.185,0.087,0.156,0.152,0.083,0.088,0.050,0.081,0.059,0.305,0.232,0.206,0.198,0.942,0.007,0.013,0.007,0.001,0.006,0.024,0.027,0.293,0.707,0.115,0.238,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),83,0.123,0.079,0.103,0.133,0.128,0.084,0.089,0.087,0.174,0.054,0.180,0.265,0.273,0.228,0.842,0.026,0.002,0.086,0.000,0.021,0.023,0.170,0.344,0.656,0.174,0.240,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),41,0.128,0.143,0.160,0.180,0.176,0.072,0.057,0.056,0.028,0.087,0.285,0.296,0.201,0.131,0.808,0.125,0.016,0.027,0.000,0.010,0.014,0.084,0.358,0.642,0.180,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),77,0.231,0.091,0.172,0.176,0.141,0.089,0.046,0.037,0.017,0.198,0.352,0.241,0.127,0.082,0.621,0.089,0.013,0.102,0.000,0.106,0.069,0.179,0.376,0.624,0.150,0.306,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),15,0.265,0.041,0.167,0.200,0.183,0.023,0.056,0.065,0.000,0.298,0.345,0.221,0.114,0.022,0.262,0.167,0.027,0.190,0.000,0.215,0.139,0.330,0.431,0.569,0.144,0.368,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),22,0.160,0.136,0.103,0.219,0.140,0.137,0.047,0.046,0.012,0.078,0.208,0.340,0.186,0.188,0.899,0.011,0.006,0.047,0.000,0.012,0.025,0.023,0.402,0.598,0.271,0.268,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),00: All Day (12am-12am),1220,0.137,0.129,0.126,0.181,0.133,0.098,0.058,0.059,0.079,0.092,0.259,0.256,0.225,0.168,0.885,0.026,0.003,0.047,0.001,0.021,0.017,0.086,0.337,0.663,0.133,0.264,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),05: 4am (4am-5am),60,0.175,0.188,0.131,0.170,0.085,0.077,0.065,0.033,0.076,0.209,0.198,0.198,0.257,0.138,0.817,0.041,0.009,0.019,0.001,0.076,0.037,0.407,0.358,0.642,0.167,0.256,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),06: 5am (5am-6am),80,0.090,0.108,0.080,0.164,0.133,0.160,0.085,0.074,0.106,0.058,0.224,0.262,0.264,0.192,0.873,0.013,0.003,0.063,0.000,0.033,0.015,0.069,0.314,0.686,0.149,0.227,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),07: 6am (6am-7am),20,0.082,0.046,0.157,0.196,0.270,0.091,0.077,0.053,0.028,0.052,0.184,0.275,0.343,0.146,0.722,0.184,0.006,0.025,0.001,0.031,0.031,0.235,0.290,0.710,0.148,0.201,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),10: 9am (9am-10am),46,0.136,0.126,0.092,0.142,0.144,0.165,0.051,0.118,0.026,0.054,0.344,0.254,0.250,0.098,0.979,0.002,0.000,0.008,0.000,0.009,0.002,0.033,0.306,0.694,0.092,0.264,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),11: 10am (10am-11am),52,0.087,0.132,0.113,0.192,0.086,0.132,0.091,0.085,0.082,0.112,0.169,0.223,0.302,0.194,0.734,0.057,0.020,0.144,0.000,0.026,0.019,0.153,0.404,0.596,0.153,0.316,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),12: 11am (11am-12noon),178,0.104,0.106,0.125,0.195,0.151,0.104,0.052,0.077,0.086,0.073,0.242,0.299,0.193,0.193,0.909,0.031,0.001,0.043,0.000,0.007,0.009,0.041,0.365,0.635,0.115,0.316,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),119,0.100,0.101,0.149,0.186,0.187,0.119,0.070,0.051,0.037,0.071,0.223,0.295,0.248,0.163,0.887,0.029,0.003,0.041,0.002,0.018,0.020,0.056,0.428,0.572,0.154,0.348,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),96,0.165,0.169,0.137,0.232,0.104,0.094,0.046,0.028,0.025,0.100,0.330,0.237,0.197,0.136,0.948,0.013,0.000,0.030,0.000,0.000,0.009,0.018,0.272,0.728,0.102,0.212,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),73,0.158,0.082,0.148,0.189,0.142,0.037,0.053,0.057,0.134,0.085,0.255,0.221,0.232,0.207,0.962,0.006,0.000,0.018,0.000,0.007,0.007,0.029,0.377,0.623,0.126,0.318,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),83,0.132,0.137,0.111,0.136,0.102,0.098,0.051,0.035,0.198,0.078,0.244,0.210,0.175,0.293,0.879,0.020,0.001,0.051,0.001,0.021,0.027,0.067,0.282,0.718,0.139,0.211,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),152,0.119,0.100,0.123,0.209,0.139,0.094,0.075,0.067,0.074,0.086,0.271,0.278,0.221,0.144,0.854,0.024,0.002,0.064,0.007,0.025,0.024,0.077,0.325,0.675,0.154,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),138,0.201,0.159,0.142,0.165,0.121,0.074,0.043,0.035,0.060,0.078,0.291,0.258,0.192,0.181,0.941,0.007,0.000,0.030,0.000,0.013,0.009,0.037,0.301,0.699,0.115,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),85,0.168,0.133,0.123,0.163,0.150,0.080,0.035,0.071,0.077,0.108,0.268,0.260,0.252,0.112,0.828,0.050,0.001,0.069,0.000,0.027,0.025,0.107,0.341,0.659,0.128,0.263,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),22,0.099,0.177,0.128,0.158,0.165,0.076,0.069,0.107,0.021,0.121,0.360,0.227,0.204,0.088,0.922,0.004,0.001,0.047,0.000,0.006,0.020,0.031,0.301,0.699,0.143,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),15,0.225,0.232,0.170,0.202,0.101,0.050,0.003,0.014,0.003,0.101,0.478,0.300,0.105,0.016,0.999,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.305,0.695,0.119,0.231,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),00: All Day (12am-12am),918,0.145,0.149,0.133,0.178,0.135,0.083,0.063,0.057,0.057,0.098,0.281,0.267,0.207,0.147,0.874,0.046,0.005,0.042,0.000,0.015,0.018,0.051,0.302,0.698,0.126,0.232,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),05: 4am (4am-5am),10,0.124,0.059,0.046,0.133,0.162,0.133,0.167,0.119,0.057,0.034,0.200,0.284,0.269,0.213,0.885,0.007,0.000,0.099,0.000,0.001,0.008,0.041,0.428,0.572,0.170,0.344,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),06: 5am (5am-6am),40,0.094,0.179,0.115,0.204,0.166,0.104,0.066,0.046,0.026,0.113,0.351,0.306,0.153,0.077,0.936,0.034,0.000,0.018,0.000,0.005,0.007,0.013,0.344,0.656,0.153,0.284,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),09: 8am (8am-9am),20,0.158,0.097,0.057,0.389,0.087,0.146,0.028,0.019,0.019,0.110,0.323,0.169,0.269,0.129,0.989,0.001,0.000,0.004,0.000,0.000,0.006,0.005,0.355,0.645,0.214,0.349,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),10: 9am (9am-10am),35,0.237,0.120,0.176,0.204,0.100,0.050,0.049,0.017,0.047,0.073,0.404,0.231,0.191,0.101,0.950,0.007,0.003,0.012,0.000,0.005,0.023,0.009,0.305,0.695,0.117,0.222,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),11: 10am (10am-11am),93,0.116,0.099,0.124,0.126,0.165,0.117,0.098,0.106,0.049,0.063,0.220,0.287,0.239,0.191,0.945,0.008,0.010,0.015,0.000,0.009,0.013,0.025,0.327,0.673,0.126,0.260,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),12: 11am (11am-12noon),98,0.109,0.174,0.117,0.119,0.128,0.080,0.115,0.095,0.063,0.090,0.244,0.251,0.186,0.229,0.956,0.013,0.003,0.006,0.000,0.007,0.015,0.049,0.303,0.697,0.120,0.225,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),13: 12pm (12noon-1pm),68,0.115,0.135,0.173,0.229,0.137,0.052,0.019,0.058,0.082,0.080,0.225,0.306,0.243,0.146,0.663,0.267,0.002,0.019,0.000,0.006,0.043,0.029,0.271,0.729,0.107,0.223,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),14: 1pm (1pm-2pm),130,0.146,0.147,0.105,0.166,0.146,0.101,0.064,0.065,0.060,0.088,0.293,0.242,0.245,0.132,0.871,0.011,0.014,0.073,0.000,0.011,0.020,0.045,0.275,0.725,0.111,0.209,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),15: 2pm (2pm-3pm),66,0.274,0.137,0.193,0.185,0.100,0.063,0.023,0.019,0.006,0.146,0.320,0.258,0.178,0.098,0.906,0.030,0.004,0.026,0.000,0.022,0.012,0.079,0.254,0.746,0.122,0.197,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),16: 3pm (3pm-4pm),92,0.113,0.195,0.147,0.125,0.061,0.060,0.066,0.051,0.182,0.082,0.257,0.239,0.206,0.216,0.882,0.005,0.001,0.097,0.000,0.001,0.014,0.020,0.331,0.669,0.081,0.279,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),17: 4pm (4pm-5pm),48,0.160,0.144,0.141,0.230,0.164,0.095,0.021,0.030,0.015,0.086,0.365,0.325,0.147,0.077,0.992,0.001,0.001,0.000,0.000,0.002,0.004,0.031,0.354,0.646,0.180,0.260,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),18: 5pm (5pm-6pm),108,0.136,0.143,0.123,0.202,0.165,0.096,0.044,0.045,0.046,0.083,0.289,0.268,0.233,0.127,0.962,0.006,0.000,0.024,0.000,0.001,0.007,0.012,0.270,0.730,0.118,0.203,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),19: 6pm (6pm-7pm),19,0.081,0.154,0.176,0.229,0.225,0.049,0.065,0.016,0.005,0.137,0.369,0.287,0.123,0.084,0.727,0.102,0.004,0.062,0.000,0.050,0.055,0.109,0.238,0.762,0.136,0.140,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),20: 7pm (7pm-8pm),68,0.151,0.182,0.121,0.219,0.140,0.056,0.068,0.035,0.028,0.179,0.303,0.267,0.157,0.094,0.689,0.115,0.006,0.097,0.000,0.071,0.022,0.193,0.322,0.678,0.146,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,5: Friday (F-F),22: 9pm (9pm-10pm),21,0.162,0.139,0.105,0.218,0.137,0.137,0.045,0.045,0.012,0.081,0.212,0.340,0.183,0.184,0.904,0.010,0.005,0.046,0.000,0.012,0.023,0.022,0.405,0.595,0.282,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),1361,0.134,0.139,0.133,0.209,0.136,0.092,0.054,0.057,0.046,0.085,0.298,0.266,0.211,0.140,0.877,0.028,0.003,0.052,0.000,0.018,0.022,0.053,0.301,0.699,0.118,0.236,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),122,0.069,0.128,0.096,0.184,0.124,0.109,0.077,0.079,0.134,0.063,0.282,0.208,0.262,0.185,0.948,0.006,0.002,0.031,0.000,0.003,0.010,0.008,0.360,0.640,0.141,0.284,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),34,0.061,0.078,0.136,0.290,0.138,0.141,0.048,0.077,0.031,0.147,0.269,0.240,0.214,0.130,0.961,0.001,0.001,0.024,0.000,0.001,0.012,0.036,0.264,0.736,0.085,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),39,0.167,0.190,0.135,0.260,0.124,0.071,0.027,0.013,0.013,0.077,0.362,0.293,0.207,0.061,0.982,0.004,0.001,0.006,0.000,0.003,0.004,0.004,0.321,0.679,0.178,0.254,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),08: 7am (7am-8am),38,0.104,0.117,0.170,0.162,0.139,0.087,0.041,0.050,0.130,0.022,0.144,0.186,0.344,0.304,0.914,0.014,0.001,0.033,0.000,0.009,0.029,0.028,0.128,0.872,0.038,0.096,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),34,0.095,0.219,0.112,0.251,0.134,0.080,0.050,0.033,0.026,0.122,0.397,0.264,0.139,0.078,0.985,0.009,0.001,0.002,0.000,0.002,0.001,0.005,0.209,0.791,0.080,0.161,0.000,0.000,1.000
