Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Travel Time (sec)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),142,190,116,1290
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),164,272,298,1669
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),33,118,133,766
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),153,257,204,1071
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),168,218,293,994
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),137,246,236,883
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),89,154,239,979
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),102,141,153,974
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),34,88,34,1052
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),14,14,14,854
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),00: All Day (12am-12am),1412,2398,2471,924
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),04: 3am (3am-4am),21,21,N/A,915
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),05: 4am (4am-5am),26,26,117,150
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),06: 5am (5am-6am),81,126,244,1473
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),07: 6am (6am-7am),15,131,115,478
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),08: 7am (7am-8am),35,35,21,822
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),09: 8am (8am-9am),21,21,15,1017
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),10: 9am (9am-10am),31,51,82,912
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),11: 10am (10am-11am),141,208,243,1082
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),223,359,213,832
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),81,230,243,1074
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),152,248,182,684
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),192,238,250,908
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),127,188,228,829
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),128,179,125,1026
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),21,159,154,1465
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),41,56,56,1046
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),41,67,123,968
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),20,20,46,1489
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),22: 9pm (9pm-10pm),15,35,15,409
